time,open,high,low,close
1970-01-05,120.75,120.875,120.25,120.375
1970-01-06,120.5,120.75,120.125,120.625
1970-01-07,121,121.25,120.75,121.125
1970-01-08,121.5,121.875,121.25,121.75
1970-01-09,121.5,121.5,120.875,120.875
1970-01-12,120.75,121.5,120.375,121.25
1970-01-13,121.5,121.875,120.75,120.875
1970-01-14,120.875,121.375,120.75,121.125
1970-01-15,121.125,121.5,121,121.375
1970-01-16,121.625,121.875,121.125,121.625
1970-01-19,121.5,122.375,121.5,122.125
1970-01-20,122.375,122.5,121.75,121.75
1970-01-21,121.75,122,121.5,121.625
1970-01-22,121.625,122,121.625,121.75
1970-01-23,122.125,122.25,121.5,121.625
1970-01-26,121.25,121.25,120.625,120.625
1970-01-27,120.25,120.5,120.125,120.125
1970-01-28,120.25,120.875,120.125,120.625
1970-01-29,120.75,121.25,120.125,120.125
1970-01-30,120.375,120.5,120.25,120.375
1970-02-02,120.625,121.5,120.625,121.25
1970-02-03,121.25,121.375,120.5,120.5
1970-02-04,120.375,120.75,120.25,120.5
1970-02-05,120.375,120.75,120.125,120.75
1970-02-06,120.625,120.75,120.375,120.5
1970-02-09,120.5,120.75,120.125,120.625
1970-02-10,120.875,120.875,120.375,120.875
1970-02-11,120.625,121.25,120.375,121.125
1970-02-12,121.875,122,121.25,122
1970-02-13,121.75,122,121.25,121.375
1970-02-16,121.625,122.25,121.5,122
1970-02-17,122,122.125,121.25,121.375
1970-02-18,121.5,122.875,121.375,122.875
1970-02-19,122.875,122.875,122.375,122.5
1970-02-20,122.375,123.125,122.25,122.625
1970-02-24,122.75,123.25,122,122
1970-02-25,121.625,122,121.375,121.75
1970-02-26,121.625,121.625,121.125,121.25
1970-02-27,121.375,122.25,121.375,122
1970-03-02,122,122,121.25,121.25
1970-03-03,121.625,121.625,121.25,121.375
1970-03-04,121.5,121.5,121.25,121.375
1970-03-05,122.875,123.125,122.75,123
1970-03-06,123.125,123.75,123,123.375
1970-03-09,123.25,123.25,122.875,123
1970-03-10,122.75,123,122.625,122.875
1970-03-11,122.875,123,122.625,122.875
1970-03-12,122.75,123.125,122.75,122.875
1970-03-13,122.875,123,122.75,122.75
1970-03-16,122.75,123.75,122.625,123.125
1970-03-17,123,123.375,123,123.375
1970-03-18,123.375,123.375,123,123.125
1970-03-19,123.25,123.5,122.25,122.5
1970-03-20,122.5,122.75,122.375,122.625
1970-03-23,122.875,123.375,122.625,122.875
1970-03-24,122.625,122.75,122.5,122.5
1970-03-25,122.625,122.75,122.375,122.75
1970-03-26,123,123.25,122.75,123.125
1970-03-30,123,123,122.625,122.75
1970-03-31,122.875,122.875,122.625,122.875
1970-04-01,123.125,123.625,123,123.625
1970-04-02,123.625,124.75,123.625,124.375
1970-04-03,124.625,125.5,124.625,124.875
1970-04-06,125.125,125.5,124.875,125.375
1970-04-07,125.25,125.75,125,125.625
1970-04-08,125.625,125.625,124.25,124.875
1970-04-09,125.125,125.25,124.625,124.75
1970-04-10,124.25,125.5,124.25,125.125
1970-04-13,125.375,126,125.375,125.875
1970-04-14,126,127,126,126.75
1970-04-15,126.5,126.5,125.5,125.75
1970-04-16,125.875,126,125.25,125.75
1970-04-17,126,126.125,125.625,125.625
1970-04-20,126,126.375,126,126
1970-04-21,126.25,126.5,126.125,126.375
1970-04-22,126.5,126.625,125.75,125.875
1970-04-23,125.875,126.5,125.75,126.25
1970-04-24,128.25,128.875,128,128.375
1970-04-27,128.25,128.875,128,128.375
1970-04-28,128.25,128.875,128.25,128.5
1970-04-29,128.5,128.5,127.75,128
1970-04-30,128.5,128.625,128.125,128.5
1970-05-01,128.625,128.875,128.5,128.625
1970-05-04,128.25,128.625,128.25,128.25
1970-05-05,128.5,128.875,128.25,128.75
1970-05-06,128.625,128.75,128.25,128.25
1970-05-07,128,128.625,128,128.5
1970-05-08,128.625,129.125,128.625,128.875
1970-05-11,129.125,129.375,128.75,128.875
1970-05-12,129.125,129.125,128.75,128.875
1970-05-13,128.875,129.375,128.75,129.25
1970-05-14,129.625,130,129.375,129.5
1970-05-15,129.75,129.75,128.5,128.5
1970-05-18,128.5,129,128.25,128.5
1970-05-19,128.75,128.875,128.5,128.625
1970-05-20,128.5,128.875,128.375,128.75
1970-05-21,129,129.75,128.875,129.625
1970-05-22,129.75,130.375,129.75,130.25
1970-05-25,130.375,130.5,129.75,129.875
1970-05-26,129.75,129.875,128.625,129.125
1970-05-27,129.25,129.625,129,129.375
1970-05-28,129.75,130,129.125,129.375
1970-06-01,129.625,129.625,129,129.625
1970-06-02,130,130,129.625,129.625
1970-06-03,130,130.5,129.75,130
1970-06-04,130,131.125,130,130.875
1970-06-05,131.125,131.25,130.5,130.625
1970-06-08,130.375,130.5,129,130.25
1970-06-09,130.375,130.875,130.25,130.375
1970-06-10,130.75,131.5,130.625,131.375
1970-06-11,131.875,132.25,131.625,131.875
1970-06-12,132,132.25,131.625,131.75
1970-06-15,132,132.5,131.625,132.125
1970-06-16,132.5,132.875,132,132.375
1970-06-17,132.125,133.25,132.125,133.125
1970-06-18,132.875,133.25,132.625,132.625
1970-06-19,132.875,133.5,132.875,133
1970-06-22,133.25,133.5,133,133.25
1970-06-23,133.25,134,133.25,133.875
1970-06-24,134.25,134.5,133.75,133.875
1970-06-25,134.5,136.125,134.375,136.125
1970-06-26,136.5,137,135.75,136.25
1970-06-29,136.75,140.75,136.75,137.5
1970-06-30,138.5,139.25,137.5,138.125
1970-07-01,137.875,138.25,136,137
1970-07-02,135.625,137,135,136.5
1970-07-06,136.25,136.5,133.5,134
1970-07-07,134.125,135.25,134.125,134.875
1970-07-08,136,137.5,135.5,137.375
1970-07-09,137.75,137.75,136.75,136.75
1970-07-10,136.75,137.5,136.5,137.25
1970-07-13,137.25,137.25,135.125,135.125
1970-07-14,134.5,135,134,134.125
1970-07-15,133.5,135,133,134.375
1970-07-16,135,135.5,134.625,134.875
1970-07-17,135.25,135.75,135,135.25
1970-07-20,134,134.125,133.5,133.625
1970-07-21,133.875,134.25,133.75,133.875
1970-07-22,133.875,135,133.75,135
1970-07-23,134.75,135.5,134.5,135
1970-07-24,136.5,136.75,134.875,134.875
1970-07-27,134.75,134.875,133.75,133.875
1970-07-28,133.5,133.5,129.75,130
1970-07-29,130.75,132.5,130,130.875
1970-07-30,131.5,131.875,130.625,130.625
1970-07-31,131,131.75,130.25,130.875
