time,open,high,low,close
1970-01-05,146.625,146.75,144.875,145.375
1970-01-06,144.875,146.25,144.75,146
1970-01-07,146.25,147.125,146.125,146.875
1970-01-08,146.875,147.375,146.625,146.75
1970-01-09,146.625,146.75,145.5,145.625
1970-01-12,145,145.25,143.5,144.375
1970-01-13,144.625,145,144.625,144.875
1970-01-14,144.75,145.25,144.75,144.875
1970-01-15,144.75,145,144,144.25
1970-01-16,144,144.75,144,144.25
1970-01-19,144.5,145,144.5,144.625
1970-01-20,144.625,146.5,144.625,146.5
1970-01-21,146.375,146.375,145.25,145.25
1970-01-22,145.25,145.75,144.5,145.5
1970-01-23,145.5,145.625,144.875,145.25
1970-01-26,145.125,145.25,143.5,143.75
1970-01-27,143.25,143.5,142.625,143.125
1970-01-28,143,143.625,142.75,143.5
1970-01-29,143.375,144,143.375,143.625
1970-01-30,143.5,144,143.375,143.75
1970-02-02,143.375,143.75,142.875,143.625
1970-02-03,143.625,144.375,143.625,144.125
1970-02-04,144.25,144.25,143.375,144
1970-02-05,143.75,144.5,143.5,144.125
1970-02-06,144.25,145,144.25,144.625
1970-02-09,144.75,146.75,144.75,146.625
1970-02-10,147.5,148.125,147.125,147.875
1970-02-11,148.5,150,148.5,149.75
1970-02-12,150.5,150.625,149.5,149.625
1970-02-13,149.5,150.5,149,149.875
1970-02-16,145.375,147.875,145.375,147.375
1970-02-17,147.75,147.75,146.5,147.125
1970-02-18,148,149.125,147.875,149
1970-02-19,149.25,149.25,147,148.25
1970-02-20,148.125,148.875,147.625,148.625
1970-02-24,148.75,149.75,148.5,148.625
1970-02-25,148.75,148.875,147.25,147.75
1970-02-26,148,148.375,147,147.625
1970-02-27,147.875,148.625,147,147.25
1970-03-02,146.75,147.75,146,146.25
1970-03-03,146.375,146.625,145.75,146
1970-03-04,145.875,147.25,145.75,146.75
1970-03-05,146.875,147.375,146.375,146.625
1970-03-06,146.5,147.125,146.25,146.375
1970-03-09,146.25,146.375,145.125,145.125
1970-03-10,145,145.875,144.875,145.25
1970-03-11,145.375,147.5,145.375,147.375
1970-03-12,148,148.25,146.875,147.125
1970-03-13,147,147.25,146.625,147.125
1970-03-16,146.75,147.625,146.5,147.375
1970-03-17,146.875,147,144.375,144.375
1970-03-18,144.125,144.875,143.5,143.625
1970-03-19,143.75,144.75,143.75,144.25
1970-03-20,143.875,144,142.875,143.25
1970-03-23,143,144.875,143,144.625
1970-03-24,144.75,144.875,144.375,144.375
1970-03-25,144.375,145,144.25,144.875
1970-03-26,145,145.625,145,145.375
1970-03-30,145.375,145.375,144,144.125
1970-03-31,143.875,144.375,143.625,144.25
1970-04-01,144.625,145,144.5,144.5
1970-04-02,144.625,145.25,144.5,145.125
1970-04-03,145.375,145.5,144.75,145.125
1970-04-06,145,146.5,145,146.5
1970-04-07,146.625,147.625,146.625,147.5
1970-04-08,148,148.125,146.5,147
1970-04-09,147.125,147.75,146,146.375
1970-04-10,146.25,146.875,146,146.375
1970-04-13,146.25,146.375,145.5,145.875
1970-04-14,146.5,147.5,146.125,147.5
1970-04-15,147.875,149.25,147.5,149.25
1970-04-16,150.125,150.25,149.75,150.125
1970-04-17,140.625,140.75,138.875,139.25
1970-04-20,139,139.375,138.625,139
1970-04-21,139.25,140.625,139.25,140.125
1970-04-22,140.5,140.625,139.75,140
1970-04-23,139.75,140.25,139.625,139.875
1970-04-24,140.5,143,140.25,142.5
1970-04-27,142.125,144,141.75,143.375
1970-04-28,143.5,144.375,142.5,142.625
1970-04-29,142.125,143.25,141.75,143
1970-04-30,142.875,143.75,142.25,142.25
