time,open,high,low,close
1973-08-17,66.8,67,66.35,66.85
1973-08-20,67.8,68,67.3,67.35
1973-08-21,67.5,67.6,66.6,67.1
1973-08-22,67,67.8,65.5,65.8
1973-08-23,65.4,67.75,65.4,66.75
1973-08-24,67.4,67.55,66.4,66.6
1973-08-27,65.95,66.4,65.75,65.9
1973-08-28,66.1,66.1,64,64
1973-08-29,63.1,64.1,62,63.45
1973-08-30,63,64,63,63.87
1973-08-31,64.3,64.69,63.8,64.02
1973-09-04,65.45,65.5,64.2,64.32
1973-09-05,63.5,63.85,63.35,63.7
1973-09-06,63.5,64,63.31,63.6
1973-09-07,63.5,64.1,63.5,63.8
1973-09-10,63.75,63.85,63.3,63.35
1973-09-11,63.1,63.3,62.45,63.02
1973-09-12,63.3,63.95,63.3,63.65
1973-09-13,65,65.4,64.4,64.5
1973-09-14,64.9,66.45,64.5,66.45
1973-09-17,65.3,66,64.7,65.75
1973-09-18,65.7,66.01,64.75,65.62
1973-09-19,65.5,65.75,65,65.15
1973-09-20,65,65.3,64.6,64.8
1973-09-21,64.6,65.15,64.55,64.65
1973-09-24,65.1,66.15,64.85,65.7
1973-09-25,66.5,67.5,66.5,67.3
1973-09-26,67.5,69.2,67.5,68.4
1973-09-27,68.6,69.35,68.1,68.55
1973-09-28,68.4,68.5,67.7,67.82
1973-10-01,67.75,68.35,67.75,68
1973-10-02,68.31,68.95,68.3,68.47
1973-10-03,68.75,68.8,68.2,68.45
1973-10-04,68.2,68.45,67.8,68.12
1973-10-05,68.11,68.48,67,68.22
1973-10-09,68.7,68.7,67.5,67.7
1973-10-10,67.88,68.35,67.81,67.95
1973-10-11,67.8,67.8,67,67.02
1973-10-12,66.8,66.8,65.03,65.07
1973-10-15,64.1,64.6,63.74,64.15
1973-10-16,64.75,65,64.1,64.33
1973-10-17,64.1,64.65,64.1,64.2
1973-10-18,63.8,65,63.8,64.93
1973-10-19,65.3,65.45,64.8,65.2
1973-10-23,65.4,65.65,65.1,65.2
1973-10-24,65.05,65.05,64.5,64.53
1973-10-25,64.6,64.9,64.5,64.83
1973-10-26,65.1,65.15,64.6,64.78
1973-10-29,64.9,64.9,64.1,64.38
1973-10-30,64.3,64.5,64.2,64.48
1973-10-31,65,65.2,64.9,65.05
1973-11-01,65.4,65.48,61.51,65.44
1973-11-02,65.4,65.4,64.5,64.75
1973-11-05,65.2,65.4,65,65.2
1973-11-07,65.5,65.75,65.35,65.5
1973-11-08,65.6,65.7,65.45,65.7
1973-11-09,65.8,65.8,65.5,65.7
1973-11-12,66,66.15,65.7,66.1
