time,open,high,low,close
1970-01-05,44.5,46,44.5,45.9
1970-01-06,48.9,48.9,48.9,48.9
1970-01-07,51.25,51.5,48.5,48.5
1970-01-08,51.3,51.45,49,50.75
1970-01-09,47.75,48.75,47.75,47.75
1970-01-12,50.75,50.75,50.75,50.75
1970-01-13,53.75,53.75,53.75,53.75
1970-01-14,52.7,52.7,51.25,51.6
1970-01-15,52.05,52.3,51.4,51.95
1970-01-16,52.25,53.65,52.2,53.5
1970-01-19,54.75,55.9,54.5,55.55
1970-01-20,55.1,55.15,53.5,53.75
1970-01-21,54.3,54.6,53.25,53.7
1970-01-22,53,53,50.8,51.75
1970-01-23,51,51.75,49.75,49.75
1970-01-26,48.95,49,47.05,48.25
1970-01-27,48.55,49.8,48.55,49.4
1970-01-28,49.75,50,48.55,49.3
1970-01-29,49,49.15,48.35,48.8
1970-01-30,49.8,49.8,48.75,48.85
1970-02-02,48.7,49.5,48.7,49.4
1970-02-03,52.15,52.4,51.25,52.4
1970-02-04,51.1,52.25,49.9,50.25
1970-02-05,48,48.5,47.25,47.25
1970-02-06,47.15,47.9,46.55,46.95
1970-02-09,46.6,47.1,46.4,46.85
1970-02-10,47.05,47.05,44.3,44.7
1970-02-11,41.7,41.7,41.7,41.7
1970-02-12,40,40.85,39.5,40.1
1970-02-13,39.5,40.6,38.7,39
1970-02-16,39.75,39.75,38.7,39
1970-02-17,39.3,39.35,38.4,38.4
1970-02-18,38,38,35.8,37.75
1970-02-19,37.9,39,37.9,38.05
1970-02-20,38.3,38.75,38.25,38.25
1970-02-24,38.5,38.5,37.85,38.15
1970-02-25,38.5,38.6,38.05,38.05
1970-02-26,39.7,39.7,38.8,39.05
1970-02-27,39.1,39.2,38.8,39.15
1970-03-02,38.9,38.9,38.25,38.3
1970-03-03,38.1,38.55,38.05,38.45
1970-03-04,38.5,39.25,38.5,38.8
1970-03-05,38.65,38.65,37.6,37.7
1970-03-06,37.6,37.85,35.5,35.6
1970-03-09,38,38,37.25,37.25
1970-03-10,37.35,37.8,37.35,37.65
1970-03-11,36.7,37.3,36.7,37.3
1970-03-12,37.3,37.85,37.3,37.4
1970-03-13,37.4,37.5,36.9,37
1970-03-16,36.85,37.5,36.8,37.25
1970-03-17,37.3,38.1,36.95,38
1970-03-18,38.1,38.1,36.9,37.6
1970-03-19,37,37,36.9,36.95
1970-03-20,36.9,37.1,36.9,36.95
