time,open,high,low,close
1980-12-12,0.128348,0.128348,0.128348,0.128348
1980-12-15,0.121652,0.121652,0.121652,0.121652
1980-12-16,0.112723,0.112723,0.112723,0.112723
1980-12-17,0.115513,0.115513,0.115513,0.115513
1980-12-18,0.118861,0.118861,0.118861,0.118861
1980-12-19,0.126116,0.126116,0.126116,0.126116
1980-12-22,0.132254,0.132254,0.132254,0.132254
1980-12-23,0.137835,0.137835,0.137835,0.137835
1980-12-24,0.145089,0.145089,0.145089,0.145089
1980-12-26,0.158482,0.158482,0.158482,0.158482
1980-12-29,0.160714,0.160714,0.160714,0.160714
1980-12-30,0.156808,0.156808,0.156808,0.156808
1980-12-31,0.152344,0.152344,0.152344,0.152344
1981-01-02,0.154018,0.154018,0.154018,0.154018
1981-01-05,0.150669,0.150669,0.150669,0.150669
1981-01-06,0.143973,0.143973,0.143973,0.143973
1981-01-07,0.137835,0.137835,0.137835,0.137835
1981-01-08,0.135045,0.135045,0.135045,0.135045
1981-01-09,0.142299,0.142299,0.142299,0.142299
1981-01-12,0.141183,0.141183,0.141183,0.141183
1981-01-13,0.136161,0.136161,0.136161,0.136161
1981-01-14,0.136719,0.136719,0.136719,0.136719
1981-01-15,0.139509,0.139509,0.139509,0.139509
1981-01-16,0.138393,0.138393,0.138393,0.138393
1981-01-19,0.146763,0.146763,0.146763,0.146763
1981-01-20,0.142299,0.142299,0.142299,0.142299
1981-01-21,0.145089,0.145089,0.145089,0.145089
1981-01-22,0.146763,0.146763,0.146763,0.146763
1981-01-23,0.146205,0.146205,0.146205,0.146205
1981-01-26,0.143973,0.143973,0.143973,0.143973
1981-01-27,0.142857,0.142857,0.142857,0.142857
1981-01-28,0.138393,0.138393,0.138393,0.138393
1981-01-29,0.13337,0.13337,0.13337,0.13337
1981-01-30,0.126116,0.126116,0.126116,0.126116
1981-02-02,0.118861,0.118861,0.118861,0.118861
1981-02-03,0.123326,0.123326,0.123326,0.123326
1981-02-04,0.12779,0.12779,0.12779,0.12779
1981-02-05,0.12779,0.12779,0.12779,0.12779
1981-02-06,0.128348,0.128348,0.128348,0.128348
1981-02-09,0.121652,0.121652,0.121652,0.121652
1981-02-10,0.121652,0.121652,0.121652,0.121652
1981-02-11,0.117745,0.117745,0.117745,0.117745
1981-02-12,0.116629,0.116629,0.116629,0.116629
1981-02-13,0.113839,0.113839,0.113839,0.113839
1981-02-17,0.116629,0.116629,0.116629,0.116629
1981-02-18,0.121652,0.121652,0.121652,0.121652
1981-02-19,0.114397,0.114397,0.114397,0.114397
1981-02-20,0.108259,0.108259,0.108259,0.108259
1981-02-23,0.109933,0.109933,0.109933,0.109933
1981-02-24,0.106027,0.106027,0.106027,0.106027
1981-02-25,0.112723,0.112723,0.112723,0.112723
1981-02-26,0.114397,0.114397,0.114397,0.114397
1981-02-27,0.118303,0.118303,0.118303,0.118303
1981-03-02,0.118861,0.118861,0.118861,0.118861
1981-03-03,0.117187,0.117187,0.117187,0.117187
1981-03-04,0.116071,0.116071,0.116071,0.116071
1981-03-05,0.115513,0.115513,0.115513,0.115513
1981-03-06,0.114397,0.114397,0.114397,0.114397
1981-03-09,0.105469,0.105469,0.105469,0.105469
1981-03-10,0.100446,0.100446,0.100446,0.100446
1981-03-11,0.09654,0.09654,0.09654,0.09654
1981-03-12,0.100446,0.100446,0.100446,0.100446
1981-03-13,0.09933,0.09933,0.09933,0.09933
1981-03-16,0.103237,0.103237,0.103237,0.103237
1981-03-17,0.108259,0.108259,0.108259,0.108259
1981-03-18,0.114955,0.114955,0.114955,0.114955
1981-03-19,0.113839,0.113839,0.113839,0.113839
1981-03-20,0.114955,0.114955,0.114955,0.114955
1981-03-23,0.11942,0.11942,0.11942,0.11942
1981-03-24,0.118861,0.118861,0.118861,0.118861
1981-03-25,0.116629,0.116629,0.116629,0.116629
1981-03-26,0.114397,0.114397,0.114397,0.114397
1981-03-27,0.110491,0.110491,0.110491,0.110491
1981-03-30,0.110491,0.110491,0.110491,0.110491
1981-03-31,0.109375,0.109375,0.109375,0.109375
1981-04-01,0.108259,0.108259,0.108259,0.108259
1981-04-02,0.117745,0.117745,0.117745,0.117745
1981-04-03,0.118303,0.118303,0.118303,0.118303
1981-04-06,0.116071,0.116071,0.116071,0.116071
1981-04-07,0.114955,0.114955,0.114955,0.114955
1981-04-08,0.120536,0.120536,0.120536,0.120536
1981-04-09,0.122768,0.122768,0.122768,0.122768
1981-04-10,0.124442,0.124442,0.124442,0.124442
1981-04-13,0.124442,0.124442,0.124442,0.124442
1981-04-14,0.124442,0.124442,0.124442,0.124442
1981-04-15,0.118303,0.118303,0.118303,0.118303
1981-04-16,0.111607,0.111607,0.111607,0.111607
1981-04-20,0.114955,0.114955,0.114955,0.114955
1981-04-21,0.122768,0.122768,0.122768,0.122768
1981-04-22,0.127232,0.127232,0.127232,0.127232
1981-04-23,0.13058,0.13058,0.13058,0.13058
1981-04-24,0.129464,0.129464,0.129464,0.129464
1981-04-27,0.128348,0.128348,0.128348,0.128348
