time,open,high,low,close
2004-08-19,2.502675,2.604023,2.401327,2.510808
2004-08-20,2.539461,2.729645,2.514937,2.710377
2004-08-23,2.773688,2.839752,2.728894,2.737653
2004-08-24,2.785199,2.792707,2.591762,2.624293
2004-08-25,2.626546,2.702619,2.599519,2.65257
2004-08-26,2.630299,2.701368,2.619038,2.700367
2004-08-27,2.705372,2.718134,2.644813,2.656324
2004-08-30,2.639808,2.639808,2.552723,2.552723
2004-08-31,2.560482,2.595265,2.556477,2.561732
2004-09-01,2.56999,2.576747,2.494167,2.508681
2004-09-02,2.479653,2.561732,2.475899,2.540211
2004-09-03,2.526198,2.545967,2.485409,2.502675
2004-09-07,2.527699,2.552473,2.492666,2.541963
2004-09-08,2.520943,2.578248,2.514937,2.559981
2004-09-09,2.564986,2.570241,2.527449,2.560231
2004-09-10,2.542464,2.666584,2.534957,2.635804
2004-09-13,2.674592,2.712879,2.664082,2.690107
2004-09-14,2.694611,2.802716,2.672339,2.789954
2004-09-15,2.766681,2.85852,2.757672,2.802716
2004-09-16,2.811224,2.897808,2.793957,2.852014
2004-09-17,2.863275,2.940099,2.841504,2.940099
2004-09-20,2.926586,3.042949,2.922082,2.986894
2004-09-21,3.007915,3.01342,2.940599,2.948858
2004-09-22,2.939098,2.994652,2.923083,2.962371
2004-09-23,2.973882,3.068724,2.928338,3.02343
2004-09-24,3.027184,3.10551,2.996904,2.998656
2004-09-27,2.991899,3.024931,2.947857,2.959368
2004-09-28,3.029185,3.188089,3.008165,3.174576
2004-09-29,3.166318,3.378774,3.158811,3.280179
2004-09-30,3.258658,3.310708,3.228128,3.243143
2004-10-01,3.269168,3.359256,3.225626,3.317715
2004-10-04,3.398794,3.425069,3.354,3.379775
2004-10-05,3.369766,3.466609,3.309207,3.462605
2004-10-06,3.445088,3.464607,3.403298,3.430324
2004-10-07,3.417312,3.500392,3.417061,3.474617
2004-10-08,3.471614,3.495387,3.428823,3.44659
2004-10-11,3.428572,3.474867,3.349496,3.38478
2004-10-12,3.365512,3.443587,3.338235,3.438332
2004-10-13,3.586476,3.592231,3.505397,3.525917
2004-10-14,3.52892,3.562953,3.46736,3.553443
2004-10-15,3.627265,3.641028,3.552192,3.606245
2004-10-18,3.583473,3.733618,3.533675,3.732617
2004-10-19,3.76615,3.813695,3.687323,3.702088
2004-10-20,3.702088,3.728363,3.493386,3.515657
2004-10-21,3.602992,3.756891,3.543934,3.738122
2004-10-22,4.262131,4.508619,4.105979,4.314931
2004-10-25,4.411275,4.865465,4.317934,4.689544
2004-10-26,4.665747,4.820672,4.504365,4.549409
2004-10-27,4.56167,4.742596,4.548658,4.65376
2004-10-28,4.670276,4.864464,4.644501,4.837188
2004-10-29,4.96381,5.003599,4.769622,4.770623
2004-11-01,4.842192,4.946543,4.786388,4.905504
2004-11-02,4.971318,4.986082,4.838188,4.876476
2004-11-03,4.959556,5.044889,4.773376,4.796398
2004-11-04,4.710815,4.764617,4.588196,4.621979
2004-11-05,4.554414,4.561921,4.217837,4.237857
2004-11-08,4.277395,4.390254,4.239108,4.317934
2004-11-09,4.356722,4.384249,4.135758,4.221591
2004-11-10,4.270889,4.317184,4.162284,4.200571
2004-11-11,4.232351,4.598206,4.193314,4.579938
2004-11-12,4.635242,4.749603,4.439302,4.554414
2004-11-15,4.510621,4.712567,4.473085,4.626233
2004-11-16,4.441804,4.491102,4.274893,4.317809
2004-11-17,4.2306,4.441804,4.229098,4.316683
2004-11-18,4.254122,4.36473,4.147269,4.192563
2004-11-19,4.231601,4.253622,4.167038,4.239108
2004-11-22,4.220215,4.24161,4.036662,4.131504
2004-11-23,4.201947,4.274893,4.166538,4.192062
2004-11-24,4.37524,4.434548,4.316933,4.373238
2004-11-26,4.399263,4.505116,4.387252,4.4891
2004-11-29,4.513374,4.578187,4.442054,4.53064
2004-11-30,4.522132,4.579438,4.510621,4.553913
2004-12-01,4.556916,4.566926,4.493104,4.503364
2004-12-02,4.501862,4.542151,4.46808,4.48935
2004-12-03,4.504365,4.530891,4.444307,4.514374
2004-12-06,4.482594,4.521882,4.404768,4.411525
2004-12-07,4.404268,4.409273,4.267886,4.289907
2004-12-08,4.268387,4.346211,4.222342,4.253622
2004-12-09,4.260379,4.341707,4.215835,4.339955
2004-12-10,4.339955,4.376241,4.286404,4.295412
2004-12-13,4.308425,4.333699,4.240359,4.265383
2004-12-14,4.279147,4.474837,4.244113,4.471583
2004-12-15,4.454067,4.521632,4.420784,4.49886
2004-12-16,4.424788,4.516627,4.403017,4.416029
2004-12-17,4.429292,4.516877,4.418031,4.506367
2004-12-20,4.552662,4.71607,4.55116,4.629987
2004-12-21,4.658765,4.701556,4.589447,4.598206
2004-12-22,4.601959,4.675781,4.579688,4.662018
2004-12-23,4.690796,4.719574,4.65451,4.702056
2004-12-27,4.733337,4.837188,4.732086,4.802404
2004-12-28,4.807409,4.843444,4.779882,4.823674
2004-12-29,4.799151,4.842693,4.799151,4.827178
2004-12-30,4.82893,4.960557,4.800903,4.944792
2004-12-31,4.985581,5.001847,4.81867,4.824425
2005-01-03,4.939787,5.095938,4.89124,5.072666
2005-01-04,5.038132,5.078171,4.841692,4.867217
2005-01-05,4.840941,4.927275,4.810412,4.842442
2005-01-06,4.885985,4.90225,4.697552,4.718322
2005-01-07,4.770623,4.860961,4.724078,4.850951
2005-01-10,4.867217,4.957304,4.800402,4.88123
2005-01-11,4.889238,4.947545,4.834184,4.843193
2005-01-12,4.862963,4.903001,4.76712,4.889238
2005-01-13,4.889238,4.939537,4.855956,4.887987
2005-01-14,4.904753,5.0051,4.857958,5.004099
2005-01-18,5.027122,5.130472,4.971318,5.102444
2005-01-19,5.120963,5.137479,4.92252,4.937285
2005-01-20,4.817168,4.911009,4.804656,4.852703
2005-01-21,4.868217,4.888737,4.707562,4.711566
2005-01-24,4.721826,4.737841,4.512373,4.522382
2005-01-25,4.559418,4.56042,4.411525,4.432295
2005-01-26,4.486097,4.739843,4.483094,4.735589
2005-01-27,4.719323,4.72608,4.634491,4.706561
2005-01-28,4.755108,4.872221,4.663019,4.763116
