time,open,high,low,close
1999-01-22,0.0437502,0.0488294,0.0388023,0.0410169
1999-01-25,0.0442711,0.0458336,0.0410158,0.0453127
1999-01-26,0.0458336,0.046745,0.041146,0.0417971
1999-01-27,0.0419273,0.042969,0.0395835,0.0416669
1999-01-28,0.0416669,0.0419273,0.0412762,0.0415367
1999-01-29,0.0415367,0.0416669,0.0395835,0.0395835
1999-02-01,0.0395835,0.0406252,0.0395835,0.0403648
1999-02-02,0.0395835,0.0406252,0.0360679,0.0372398
1999-02-03,0.0367189,0.0385419,0.0364585,0.038021
1999-02-04,0.0385419,0.041146,0.038021,0.0401044
1999-02-05,0.0407554,0.0416669,0.0397137,0.0412762
1999-02-08,0.0415367,0.0416669,0.0398439,0.0398439
1999-02-09,0.0406252,0.0408856,0.0377606,0.0382814
1999-02-10,0.0382814,0.0393231,0.0372398,0.0378908
1999-02-11,0.038021,0.0427085,0.038021,0.041146
1999-02-12,0.0416669,0.0437502,0.0416669,0.0434898
1999-02-16,0.0442711,0.046094,0.0393231,0.0437502
1999-02-17,0.0427085,0.0432294,0.0406252,0.0414065
1999-02-18,0.0427085,0.0432294,0.0408856,0.0420575
1999-02-19,0.0416669,0.0442711,0.041146,0.0434898
1999-02-22,0.0442711,0.0447919,0.0414065,0.0437502
1999-02-23,0.0447919,0.046745,0.0421877,0.0458336
1999-02-24,0.0526044,0.0546878,0.0483075,0.0494794
1999-02-25,0.0515628,0.0531253,0.0471357,0.0479169
1999-02-26,0.0484377,0.0500003,0.0453127,0.0457034
1999-03-01,0.0468752,0.0479169,0.0437502,0.0459638
1999-03-02,0.0458336,0.046094,0.0447919,0.0455731
1999-03-03,0.0458336,0.0458336,0.0421877,0.0424481
1999-03-04,0.0445315,0.0447919,0.041146,0.0415367
1999-03-05,0.0419273,0.0440106,0.0419273,0.0438804
1999-03-08,0.0427085,0.0458336,0.0419273,0.0445315
1999-03-09,0.0444013,0.0466148,0.0444013,0.0459638
1999-03-10,0.0464846,0.0466148,0.0445315,0.0451825
1999-03-11,0.0444013,0.0451825,0.0432294,0.0432294
1999-03-12,0.0434898,0.0434898,0.0416669,0.0424481
1999-03-15,0.0434898,0.0447919,0.0432294,0.0442711
1999-03-16,0.0445315,0.0450523,0.0424481,0.0428388
1999-03-17,0.0432294,0.0440106,0.0420575,0.0430992
1999-03-18,0.0432294,0.0442711,0.0421877,0.04362
1999-03-19,0.0434898,0.0450523,0.0434898,0.0437502
1999-03-22,0.0446617,0.0447919,0.0424481,0.0424481
1999-03-23,0.0427085,0.0427085,0.0390627,0.0398439
1999-03-24,0.0395835,0.0398439,0.038021,0.0395835
1999-03-25,0.0394533,0.0416669,0.0393231,0.0401044
1999-03-26,0.0406252,0.0437502,0.0406252,0.04362
1999-03-29,0.0449221,0.0459638,0.0441408,0.0449221
1999-03-30,0.0450523,0.0454429,0.0408856,0.041146
1999-03-31,0.0424481,0.0445315,0.040495,0.0440106
1999-04-01,0.0440106,0.0442711,0.0419273,0.0427085
1999-04-05,0.0421877,0.0432294,0.041146,0.0414065
1999-04-06,0.0417971,0.0419273,0.0395835,0.0403648
1999-04-07,0.0406252,0.0440106,0.0403648,0.0437502
1999-04-08,0.0440106,0.0458336,0.0434898,0.0445315
1999-04-09,0.0447919,0.0447919,0.0434898,0.0437502
1999-04-12,0.0432294,0.0432294,0.041146,0.0419273
1999-04-13,0.0427085,0.0427085,0.0395835,0.0402346
1999-04-14,0.0401044,0.0410158,0.0390627,0.0390627
1999-04-15,0.0401044,0.0401044,0.0390627,0.0401044
1999-04-16,0.0398439,0.0420575,0.0398439,0.0414065
1999-04-19,0.0419273,0.0419273,0.0390627,0.0395835
1999-04-20,0.0395835,0.041146,0.0384117,0.0388023
1999-04-21,0.0388023,0.0395835,0.0385419,0.0394533
1999-04-22,0.0395835,0.0395835,0.03737,0.0377606
1999-04-23,0.0376304,0.0377606,0.0356773,0.0359377
1999-04-26,0.0359377,0.0364585,0.0333335,0.0341148
1999-04-27,0.034896,0.038021,0.0343752,0.0377606
1999-04-28,0.038021,0.038021,0.0363283,0.0375002
1999-04-29,0.0376304,0.0377606,0.0367189,0.0375002
1999-04-30,0.0378908,0.0395835,0.0376304,0.038021
1999-05-03,0.0384117,0.0384117,0.0372398,0.0382814
1999-05-04,0.0382814,0.0382814,0.0354168,0.0361981
1999-05-05,0.0364585,0.0369794,0.0343752,0.0369794
1999-05-06,0.0367189,0.0375002,0.0351564,0.0362632
1999-05-07,0.0351564,0.0367189,0.0351564,0.0364585
1999-05-10,0.0361981,0.0372398,0.0361981,0.0364585
1999-05-11,0.038021,0.0395835,0.0372398,0.0384117
1999-05-12,0.0388023,0.0397137,0.0382814,0.0395835
1999-05-13,0.0395835,0.0406252,0.0394533,0.0395835
1999-05-14,0.0395835,0.0395835,0.0369794,0.0375002
1999-05-17,0.0369794,0.0393231,0.0368491,0.0393231
1999-05-18,0.0397137,0.0416669,0.0385419,0.041146
1999-05-19,0.042969,0.0445315,0.0386721,0.0393231
1999-05-20,0.0395835,0.0395835,0.0347658,0.0361981
1999-05-21,0.0356773,0.0356773,0.0343752,0.0354168
1999-05-24,0.0356773,0.0364585,0.0347658,0.0352866
1999-05-25,0.0354168,0.0359377,0.0351564,0.0355471
1999-05-26,0.0354168,0.0372398,0.0354168,0.0354168
1999-05-27,0.0356773,0.0356773,0.0351564,0.0351564
1999-05-28,0.0356773,0.0356773,0.0351564,0.0355471
1999-06-01,0.0354168,0.0356773,0.034896,0.0356773
1999-06-02,0.0356773,0.0356773,0.0343752,0.0343752
1999-06-03,0.0352866,0.0355471,0.034896,0.0352866
1999-06-04,0.0355471,0.0356773,0.0352866,0.0355471
1999-06-07,0.0357424,0.0364585,0.0356773,0.0359377
1999-06-08,0.0360679,0.0375002,0.0359377,0.0368491
1999-06-09,0.0369794,0.0382814,0.0369794,0.0375002
1999-06-10,0.0375002,0.0377606,0.0372398,0.0376304
1999-06-11,0.0376304,0.0377606,0.0355471,0.0368491
1999-06-14,0.0369142,0.0369794,0.0351564,0.0354168
1999-06-15,0.0354168,0.0356773,0.034896,0.0354168
1999-06-16,0.0359377,0.0375002,0.0354168,0.0364585
1999-06-17,0.0361981,0.0367189,0.0354168,0.0354168
1999-06-18,0.0356773,0.0356773,0.0341148,0.0341148
1999-06-21,0.0351564,0.0359377,0.0342124,0.0359377
1999-06-22,0.0359377,0.0359377,0.0345054,0.0352866
1999-06-23,0.034896,0.0359377,0.0345054,0.0359377
1999-06-24,0.0361981,0.0361981,0.034896,0.0351564
1999-06-25,0.034896,0.0360679,0.034896,0.0356773
1999-06-28,0.0368491,0.0368491,0.0354168,0.0361981
1999-06-29,0.0367189,0.0371096,0.0361981,0.0365887
1999-06-30,0.0377606,0.0398439,0.0369794,0.0398439
1999-07-01,0.0398439,0.0398439,0.0356773,0.0377606
1999-07-02,0.0382814,0.040495,0.0375002,0.040495
1999-07-06,0.0408856,0.0408856,0.0401044,0.0406252
1999-07-07,0.0408856,0.0408856,0.0398439,0.0398439
1999-07-08,0.0401044,0.0414065,0.0388023,0.0407554
1999-07-09,0.0406252,0.0445315,0.0406252,0.044206
1999-07-12,0.0468752,0.0481773,0.0450523,0.0462242
1999-07-13,0.046745,0.0470054,0.0442711,0.0463544
1999-07-14,0.0463544,0.0473961,0.0442711,0.0445315
1999-07-15,0.0449221,0.0463544,0.0447919,0.0447919
1999-07-16,0.0455731,0.046094,0.0447919,0.0457034
1999-07-19,0.0458336,0.0459638,0.0442711,0.0445315
1999-07-20,0.0445315,0.0445315,0.0421877,0.0437502
1999-07-21,0.0432294,0.0432294,0.041146,0.0424481
1999-07-22,0.0421877,0.0421877,0.0401044,0.040495
1999-07-23,0.0403648,0.0416669,0.0403648,0.040495
1999-07-26,0.0415367,0.0415367,0.0406252,0.0406252
1999-07-27,0.0406252,0.0408856,0.0401044,0.0407554
1999-07-28,0.0406252,0.0419273,0.040495,0.0414065
1999-07-29,0.0406252,0.0419273,0.0403648,0.0417971
1999-07-30,0.0417971,0.042969,0.0416669,0.0419273
1999-08-02,0.0419273,0.0424481,0.0416669,0.0423179
1999-08-03,0.0423179,0.0423179,0.0408856,0.0412762
1999-08-04,0.0415367,0.0416669,0.041146,0.0412762
1999-08-05,0.0412762,0.0419273,0.0406252,0.0419273
1999-08-06,0.0417971,0.0420575,0.0416669,0.0419273
1999-08-09,0.0420575,0.0424481,0.0416669,0.0419273
1999-08-10,0.0421877,0.0445315,0.0419273,0.0427085
1999-08-11,0.0432294,0.046094,0.042969,0.0455731
1999-08-12,0.0458336,0.0489586,0.0455731,0.0477867
1999-08-13,0.0479169,0.0483075,0.0468752,0.0472659
1999-08-16,0.0476565,0.0476565,0.0438804,0.0454429
1999-08-17,0.0455731,0.0463544,0.0444013,0.0455731
1999-08-18,0.0450523,0.0471357,0.0441408,0.0466148
1999-08-19,0.04987,0.0591149,0.0481773,0.0565107
1999-08-20,0.0566409,0.0570315,0.0539065,0.0559899
1999-08-23,0.0552086,0.0552086,0.0507815,0.0526044
1999-08-24,0.0518232,0.0528648,0.049219,0.052344
1999-08-25,0.0524742,0.0529951,0.0500003,0.0520836
1999-08-26,0.0520836,0.0528648,0.0505211,0.0513023
1999-08-27,0.052344,0.0562503,0.0520836,0.0541669
1999-08-30,0.0550784,0.0561201,0.051693,0.0539716
1999-08-31,0.0541669,0.0588545,0.0531253,0.058594
1999-09-01,0.058594,0.058594,0.0549482,0.0558597
1999-09-02,0.0540367,0.055469,0.0528648,0.0552086
1999-09-03,0.0562503,0.0570315,0.0552086,0.0555992
1999-09-07,0.0565107,0.0565107,0.0550784,0.0553388
1999-09-08,0.055469,0.0558597,0.0552086,0.0552086
1999-09-09,0.0557294,0.0561201,0.0533857,0.0544274
1999-09-10,0.0553388,0.0559899,0.0549482,0.0552086
1999-09-13,0.055469,0.055469,0.0528648,0.0533857
1999-09-14,0.0533857,0.0533857,0.0515628,0.0518232
1999-09-15,0.0511721,0.0528648,0.0507815,0.0522138
1999-09-16,0.0515628,0.0520836,0.0502607,0.0509117
1999-09-17,0.0505862,0.0510419,0.0489586,0.0507815
1999-09-20,0.04987,0.0505211,0.0489586,0.0489586
1999-09-21,0.0479169,0.0481773,0.04362,0.0442711
1999-09-22,0.0442711,0.0455731,0.0416669,0.0453127
1999-09-23,0.0454429,0.0455731,0.041146,0.0415367
1999-09-24,0.0416669,0.0427085,0.034896,0.0377606
1999-09-27,0.0402346,0.0408856,0.0377606,0.0401044
1999-09-28,0.0401695,0.0442711,0.0401044,0.0437502
