time,open,high,low,close
1984-12-03,0.7245,0.7245,0.7245,0.7245
1984-12-04,0.7254,0.7254,0.7254,0.7254
1984-12-05,0.723,0.723,0.723,0.723
1984-12-06,0.7162,0.7162,0.7162,0.7162
1984-12-07,0.71,0.71,0.71,0.71
1984-12-10,0.706,0.706,0.706,0.706
1984-12-11,0.701,0.701,0.701,0.701
1984-12-12,0.6935,0.6935,0.6935,0.6935
1984-12-13,0.69,0.69,0.69,0.69
1984-12-14,0.685,0.685,0.685,0.685
1984-12-17,0.69,0.69,0.69,0.69
1984-12-18,0.69,0.69,0.69,0.69
1984-12-19,0.6745,0.6745,0.6745,0.6745
1984-12-20,0.6665,0.6665,0.6665,0.6665
1984-12-21,0.6745,0.6745,0.6745,0.6745
1984-12-26,0.684,0.684,0.684,0.684
1984-12-27,0.675,0.675,0.675,0.675
1984-12-28,0.681,0.681,0.681,0.681
1985-01-02,0.662,0.662,0.662,0.662
1985-01-03,0.662,0.662,0.662,0.662
1985-01-04,0.662,0.662,0.662,0.662
1985-01-07,0.6715,0.6715,0.6715,0.6715
1985-01-08,0.6695,0.6695,0.6695,0.6695
1985-01-09,0.668,0.668,0.668,0.668
1985-01-10,0.6805,0.6805,0.6805,0.6805
1985-01-11,0.691,0.691,0.691,0.691
1985-01-14,0.699,0.699,0.699,0.699
1985-01-15,0.6935,0.6935,0.6935,0.6935
1985-01-16,0.678,0.678,0.678,0.678
1985-01-17,0.6853,0.6853,0.6853,0.6853
1985-01-18,0.684,0.684,0.684,0.684
1985-01-21,0.6875,0.6875,0.6875,0.6875
1985-01-22,0.677,0.677,0.677,0.677
1985-01-23,0.669,0.669,0.669,0.669
1985-01-24,0.6743,0.6743,0.6743,0.6743
1985-01-25,0.681,0.681,0.681,0.681
1985-01-28,0.695,0.695,0.695,0.695
1985-01-29,0.705,0.705,0.705,0.705
1985-01-30,0.7185,0.7185,0.7185,0.7185
1985-01-31,0.7225,0.7225,0.7225,0.7225
1985-02-01,0.7155,0.7155,0.7155,0.7155
1985-02-04,0.71,0.71,0.71,0.71
1985-02-05,0.716,0.716,0.716,0.716
1985-02-06,0.7275,0.7275,0.7275,0.7275
1985-02-07,0.7275,0.7275,0.7275,0.7275
1985-02-08,0.7333,0.7333,0.7333,0.7333
1985-02-11,0.747,0.747,0.747,0.747
1985-02-12,0.73,0.73,0.73,0.73
1985-02-13,0.742,0.742,0.742,0.742
1985-02-14,0.744,0.744,0.744,0.744
1985-02-15,0.753,0.753,0.753,0.753
1985-02-19,0.756,0.756,0.756,0.756
1985-02-20,0.7615,0.7615,0.7615,0.7615
1985-02-21,0.7565,0.7565,0.7565,0.7565
1985-02-22,0.7374,0.7374,0.7374,0.7374
1985-02-25,0.7335,0.7335,0.7335,0.7335
1985-02-26,0.7416,0.7416,0.7416,0.7416
1985-02-27,0.743,0.743,0.743,0.743
1985-02-28,0.749,0.749,0.749,0.749
1985-03-01,0.7498,0.7498,0.7498,0.7498
1985-03-04,0.76,0.76,0.76,0.76
1985-03-05,0.7494,0.7494,0.7494,0.7494
1985-03-06,0.7505,0.7505,0.7505,0.7505
1985-03-07,0.7605,0.7605,0.7605,0.7605
1985-03-08,0.76,0.76,0.76,0.76
1985-03-11,0.7595,0.7595,0.7595,0.7595
1985-03-12,0.7775,0.7775,0.7775,0.7775
1985-03-13,0.7875,0.7875,0.7875,0.7875
1985-03-14,0.7775,0.7775,0.7775,0.7775
1985-03-15,0.782,0.782,0.782,0.782
1985-03-18,0.8,0.8,0.8,0.8
1985-03-19,0.801,0.801,0.801,0.801
1985-03-20,0.8001,0.8001,0.8001,0.8001
1985-03-21,0.814,0.814,0.814,0.814
1985-03-22,0.81,0.81,0.81,0.81
1985-03-25,0.8088,0.8088,0.8088,0.8088
1985-03-26,0.811,0.811,0.811,0.811
1985-03-27,0.809,0.809,0.809,0.809
1985-03-28,0.8075,0.8075,0.8075,0.8075
1985-03-29,0.8122,0.8122,0.8122,0.8122
1985-04-01,0.825,0.825,0.825,0.825
1985-04-02,0.8335,0.8335,0.8335,0.8335
1985-04-03,0.8325,0.8325,0.8325,0.8325
1985-04-04,0.8385,0.8385,0.8385,0.8385
1985-04-08,0.8525,0.8525,0.8525,0.8525
1985-04-09,0.8525,0.8525,0.8525,0.8525
1985-04-10,0.854,0.854,0.854,0.854
1985-04-11,0.8475,0.8475,0.8475,0.8475
1985-04-12,0.8025,0.8025,0.8025,0.8025
1985-04-15,0.811,0.811,0.811,0.811
1985-04-16,0.805,0.805,0.805,0.805
1985-04-17,0.8,0.8,0.8,0.8
1985-04-18,0.798,0.798,0.798,0.798
1985-04-19,0.804,0.804,0.804,0.804
1985-04-22,0.812,0.812,0.812,0.812
1985-04-23,0.815,0.815,0.815,0.815
1985-04-24,0.8246,0.8246,0.8246,0.8246
1985-04-25,0.83,0.83,0.83,0.83
1985-04-26,0.825,0.825,0.825,0.825
1985-04-29,0.8125,0.8125,0.8125,0.8125
1985-04-30,0.81,0.81,0.81,0.81
1985-05-01,0.7985,0.7985,0.7985,0.7985
1985-05-02,0.802,0.802,0.802,0.802
1985-05-03,0.7991,0.7991,0.7991,0.7991
1985-05-06,0.7925,0.7925,0.7925,0.7925
1985-05-07,0.79,0.79,0.79,0.79
1985-05-08,0.789,0.789,0.789,0.789
1985-05-09,0.8035,0.8035,0.8035,0.8035
1985-05-10,0.7915,0.7915,0.7915,0.7915
1985-05-13,0.798,0.798,0.798,0.798
1985-05-14,0.802,0.802,0.802,0.802
1985-05-15,0.8,0.8,0.8,0.8
1985-05-16,0.776,0.776,0.776,0.776
1985-05-17,0.775,0.775,0.775,0.775
1985-05-20,0.778,0.778,0.778,0.778
1985-05-21,0.781,0.781,0.781,0.781
1985-05-22,0.7918,0.7918,0.7918,0.7918
1985-05-23,0.7968,0.7968,0.7968,0.7968
1985-05-24,0.8053,0.8053,0.8053,0.8053
1985-05-28,0.799,0.799,0.799,0.799
1985-05-29,0.8025,0.8025,0.8025,0.8025
1985-05-30,0.801,0.801,0.801,0.801
1985-05-31,0.8012,0.8012,0.8012,0.8012
1985-06-03,0.7938,0.7938,0.7938,0.7938
1985-06-04,0.8014,0.8014,0.8014,0.8014
1985-06-05,0.791,0.791,0.791,0.791
1985-06-06,0.8015,0.8015,0.8015,0.8015
1985-06-07,0.8015,0.8015,0.8015,0.8015
1985-06-10,0.7968,0.7968,0.7968,0.7968
1985-06-11,0.7995,0.7995,0.7995,0.7995
1985-06-12,0.798,0.798,0.798,0.798
1985-06-13,0.7722,0.7722,0.7722,0.7722
1985-06-14,0.7737,0.7737,0.7737,0.7737
1985-06-17,0.774,0.774,0.774,0.774
1985-06-18,0.785,0.785,0.785,0.785
1985-06-19,0.7977,0.7977,0.7977,0.7977
1985-06-20,0.797,0.797,0.797,0.797
1985-06-21,0.7905,0.7905,0.7905,0.7905
1985-06-24,0.791,0.791,0.791,0.791
1985-06-25,0.794,0.794,0.794,0.794
1985-06-26,0.805,0.805,0.805,0.805
1985-06-27,0.8056,0.8056,0.8056,0.8056
1985-06-28,0.8094,0.8094,0.8094,0.8094
1985-07-01,0.805,0.805,0.805,0.805
1985-07-02,0.8138,0.8138,0.8138,0.8138
1985-07-03,0.8119,0.8119,0.8119,0.8119
1985-07-08,0.824,0.824,0.824,0.824
1985-07-09,0.836,0.836,0.836,0.836
1985-07-10,0.8297,0.8297,0.8297,0.8297
1985-07-11,0.821,0.821,0.821,0.821
1985-07-12,0.8101,0.8101,0.8101,0.8101
1985-07-15,0.82,0.82,0.82,0.82
1985-07-16,0.776,0.776,0.776,0.776
1985-07-17,0.7747,0.7747,0.7747,0.7747
1985-07-18,0.7691,0.7691,0.7691,0.7691
1985-07-19,0.7638,0.7638,0.7638,0.7638
1985-07-22,0.767,0.767,0.767,0.767
1985-07-23,0.7681,0.7681,0.7681,0.7681
1985-07-24,0.7609,0.7609,0.7609,0.7609
1985-07-25,0.7665,0.7665,0.7665,0.7665
1985-07-26,0.771,0.771,0.771,0.771
1985-07-29,0.7666,0.7666,0.7666,0.7666
1985-07-30,0.7637,0.7637,0.7637,0.7637
1985-07-31,0.7506,0.7506,0.7506,0.7506
1985-08-01,0.7415,0.7415,0.7415,0.7415
1985-08-02,0.7427,0.7427,0.7427,0.7427
1985-08-05,0.7344,0.7344,0.7344,0.7344
1985-08-06,0.7277,0.7277,0.7277,0.7277
1985-08-07,0.727,0.727,0.727,0.727
1985-08-08,0.7295,0.7295,0.7295,0.7295
1985-08-09,0.7366,0.7366,0.7366,0.7366
1985-08-12,0.7424,0.7424,0.7424,0.7424
1985-08-13,0.7361,0.7361,0.7361,0.7361
1985-08-14,0.7445,0.7445,0.7445,0.7445
1985-08-15,0.7407,0.7407,0.7407,0.7407
1985-08-16,0.7395,0.7395,0.7395,0.7395
1985-08-19,0.7428,0.7428,0.7428,0.7428
1985-08-20,0.7485,0.7485,0.7485,0.7485
1985-08-21,0.75,0.75,0.75,0.75
1985-08-22,0.7552,0.7552,0.7552,0.7552
1985-08-23,0.755,0.755,0.755,0.755
1985-08-26,0.7552,0.7552,0.7552,0.7552
1985-08-27,0.75,0.75,0.75,0.75
1985-08-28,0.7442,0.7442,0.7442,0.7442
1985-08-29,0.7397,0.7397,0.7397,0.7397
1985-08-30,0.7425,0.7425,0.7425,0.7425
1985-09-03,0.7483,0.7483,0.7483,0.7483
1985-09-04,0.7456,0.7456,0.7456,0.7456
1985-09-05,0.7524,0.7524,0.7524,0.7524
1985-09-06,0.7509,0.7509,0.7509,0.7509
1985-09-09,0.748,0.748,0.748,0.748
1985-09-10,0.7615,0.7615,0.7615,0.7615
1985-09-11,0.7665,0.7665,0.7665,0.7665
1985-09-12,0.7775,0.7775,0.7775,0.7775
1985-09-13,0.7374,0.7374,0.7374,0.7374
1985-09-16,0.7293,0.7293,0.7293,0.7293
1985-09-17,0.738,0.738,0.738,0.738
1985-09-18,0.7325,0.7325,0.7325,0.7325
1985-09-19,0.7332,0.7332,0.7332,0.7332
1985-09-20,0.7384,0.7384,0.7384,0.7384
1985-09-23,0.744,0.744,0.744,0.744
1985-09-24,0.753,0.753,0.753,0.753
1985-09-25,0.7575,0.7575,0.7575,0.7575
1985-09-26,0.7706,0.7706,0.7706,0.7706
1985-09-27,0.7735,0.7735,0.7735,0.7735
1985-09-30,0.773,0.773,0.773,0.773
1985-10-01,0.7773,0.7773,0.7773,0.7773
1985-10-02,0.7835,0.7835,0.7835,0.7835
1985-10-03,0.7775,0.7775,0.7775,0.7775
1985-10-04,0.7789,0.7789,0.7789,0.7789
1985-10-07,0.7827,0.7827,0.7827,0.7827
1985-10-08,0.7872,0.7872,0.7872,0.7872
1985-10-09,0.7856,0.7856,0.7856,0.7856
1985-10-10,0.7799,0.7799,0.7799,0.7799
1985-10-11,0.7832,0.7832,0.7832,0.7832
1985-10-14,0.799,0.799,0.799,0.799
1985-10-15,0.8106,0.8106,0.8106,0.8106
1985-10-16,0.775,0.775,0.775,0.775
1985-10-17,0.7833,0.7833,0.7833,0.7833
1985-10-18,0.7814,0.7814,0.7814,0.7814
1985-10-21,0.7845,0.7845,0.7845,0.7845
1985-10-22,0.783,0.783,0.783,0.783
1985-10-23,0.7919,0.7919,0.7919,0.7919
1985-10-24,0.7852,0.7852,0.7852,0.7852
1985-10-25,0.786,0.786,0.786,0.786
1985-10-28,0.7875,0.7875,0.7875,0.7875
1985-10-29,0.789,0.789,0.789,0.789
1985-10-30,0.7875,0.7875,0.7875,0.7875
1985-10-31,0.802,0.802,0.802,0.802
1985-11-01,0.8058,0.8058,0.8058,0.8058
1985-11-04,0.8002,0.8002,0.8002,0.8002
1985-11-05,0.792,0.792,0.792,0.792
1985-11-06,0.7956,0.7956,0.7956,0.7956
1985-11-07,0.802,0.802,0.802,0.802
1985-11-08,0.8015,0.8015,0.8015,0.8015
1985-11-11,0.8065,0.8065,0.8065,0.8065
1985-11-12,0.787,0.787,0.787,0.787
1985-11-13,0.7861,0.7861,0.7861,0.7861
1985-11-14,0.791,0.791,0.791,0.791
1985-11-15,0.783,0.783,0.783,0.783
1985-11-18,0.7805,0.7805,0.7805,0.7805
1985-11-19,0.788,0.788,0.788,0.788
1985-11-20,0.795,0.795,0.795,0.795
1985-11-21,0.7945,0.7945,0.7945,0.7945
1985-11-22,0.795,0.795,0.795,0.795
1985-11-25,0.797,0.797,0.797,0.797
1985-11-26,0.791,0.791,0.791,0.791
1985-11-27,0.7756,0.7756,0.7756,0.7756
1985-12-02,0.7677,0.7677,0.7677,0.7677
1985-12-03,0.7625,0.7625,0.7625,0.7625
1985-12-04,0.752,0.752,0.752,0.752
1985-12-05,0.7625,0.7625,0.7625,0.7625
1985-12-06,0.7589,0.7589,0.7589,0.7589
1985-12-09,0.723,0.723,0.723,0.723
1985-12-10,0.6789,0.6789,0.6789,0.6789
1985-12-11,0.7,0.7,0.7,0.7
1985-12-12,0.7083,0.7083,0.7083,0.7083
1985-12-13,0.7056,0.7056,0.7056,0.7056
1985-12-16,0.68,0.68,0.68,0.68
1985-12-17,0.66,0.66,0.66,0.66
1985-12-18,0.669,0.669,0.669,0.669
1985-12-19,0.684,0.684,0.684,0.684
1985-12-20,0.6775,0.6775,0.6775,0.6775
1985-12-23,0.672,0.672,0.672,0.672
1985-12-26,0.685,0.685,0.685,0.685
1985-12-27,0.698,0.698,0.698,0.698
1985-12-30,0.6985,0.6985,0.6985,0.6985
1985-12-31,0.6989,0.6989,0.6989,0.6989
1986-01-02,0.677,0.677,0.677,0.677
1986-01-03,0.6851,0.6851,0.6851,0.6851
1986-01-06,0.7081,0.7081,0.7081,0.7081
1986-01-07,0.698,0.698,0.698,0.698
1986-01-08,0.6922,0.6922,0.6922,0.6922
1986-01-09,0.687,0.687,0.687,0.687
1986-01-10,0.6869,0.6869,0.6869,0.6869
1986-01-13,0.6677,0.6677,0.6677,0.6677
1986-01-14,0.6625,0.6625,0.6625,0.6625
1986-01-15,0.67,0.67,0.67,0.67
1986-01-16,0.643,0.643,0.643,0.643
1986-01-17,0.635,0.635,0.635,0.635
1986-01-20,0.615,0.615,0.615,0.615
1986-01-21,0.6036,0.6036,0.6036,0.6036
1986-01-22,0.593,0.593,0.593,0.593
1986-01-23,0.59,0.59,0.59,0.59
1986-01-24,0.5904,0.5904,0.5904,0.5904
1986-01-27,0.6104,0.6104,0.6104,0.6104
1986-01-28,0.602,0.602,0.602,0.602
1986-01-29,0.5821,0.5821,0.5821,0.5821
1986-01-30,0.576,0.576,0.576,0.576
1986-01-31,0.556,0.556,0.556,0.556
1986-02-03,0.5194,0.5194,0.5194,0.5194
1986-02-04,0.4836,0.4836,0.4836,0.4836
1986-02-05,0.49,0.49,0.49,0.49
1986-02-06,0.4871,0.4871,0.4871,0.4871
1986-02-07,0.51,0.51,0.51,0.51
1986-02-10,0.4889,0.4889,0.4889,0.4889
1986-02-11,0.483,0.483,0.483,0.483
1986-02-12,0.4613,0.4613,0.4613,0.4613
1986-02-13,0.4675,0.4675,0.4675,0.4675
1986-02-14,0.4716,0.4716,0.4716,0.4716
1986-02-18,0.4516,0.4516,0.4516,0.4516
1986-02-19,0.448,0.448,0.448,0.448
1986-02-20,0.428,0.428,0.428,0.428
1986-02-21,0.398,0.398,0.398,0.398
1986-02-24,0.4245,0.4245,0.4245,0.4245
1986-02-25,0.4135,0.4135,0.4135,0.4135
1986-02-26,0.4315,0.4315,0.4315,0.4315
1986-02-27,0.4195,0.4195,0.4195,0.4195
1986-02-28,0.41,0.41,0.41,0.41
1986-03-03,0.3789,0.3789,0.3789,0.3789
1986-03-04,0.3785,0.3785,0.3785,0.3785
1986-03-05,0.363,0.363,0.363,0.363
1986-03-06,0.385,0.385,0.385,0.385
1986-03-07,0.375,0.375,0.375,0.375
1986-03-10,0.39,0.39,0.39,0.39
1986-03-11,0.3881,0.3881,0.3881,0.3881
1986-03-12,0.428,0.428,0.428,0.428
1986-03-13,0.3885,0.3885,0.3885,0.3885
1986-03-14,0.406,0.406,0.406,0.406
1986-03-17,0.426,0.426,0.426,0.426
1986-03-18,0.435,0.435,0.435,0.435
1986-03-19,0.428,0.428,0.428,0.428
1986-03-20,0.415,0.415,0.415,0.415
1986-03-21,0.4347,0.4347,0.4347,0.4347
1986-03-24,0.4147,0.4147,0.4147,0.4147
1986-03-25,0.415,0.415,0.415,0.415
1986-03-26,0.4146,0.4146,0.4146,0.4146
1986-03-27,0.3946,0.3946,0.3946,0.3946
1986-03-31,0.367,0.367,0.367,0.367
1986-04-01,0.3875,0.3875,0.3875,0.3875
1986-04-02,0.3975,0.3975,0.3975,0.3975
1986-04-03,0.393,0.393,0.393,0.393
1986-04-04,0.4155,0.4155,0.4155,0.4155
1986-04-07,0.45,0.45,0.45,0.45
1986-04-08,0.4145,0.4145,0.4145,0.4145
1986-04-09,0.433,0.433,0.433,0.433
1986-04-10,0.4475,0.4475,0.4475,0.4475
1986-04-11,0.4595,0.4595,0.4595,0.4595
1986-04-14,0.449,0.449,0.449,0.449
1986-04-15,0.433,0.433,0.433,0.433
1986-04-16,0.413,0.413,0.413,0.413
1986-04-17,0.4095,0.4095,0.4095,0.4095
1986-04-18,0.427,0.427,0.427,0.427
1986-04-21,0.444,0.444,0.444,0.444
1986-04-22,0.451,0.451,0.451,0.451
1986-04-23,0.471,0.471,0.471,0.471
1986-04-24,0.4786,0.4786,0.4786,0.4786
1986-04-25,0.4986,0.4986,0.4986,0.4986
1986-04-28,0.503,0.503,0.503,0.503
1986-04-29,0.4965,0.4965,0.4965,0.4965
1986-04-30,0.495,0.495,0.495,0.495
1986-05-01,0.504,0.504,0.504,0.504
1986-05-02,0.5164,0.5164,0.5164,0.5164
1986-05-05,0.494,0.494,0.494,0.494
1986-05-06,0.5049,0.5049,0.5049,0.5049
1986-05-07,0.5281,0.5281,0.5281,0.5281
1986-05-08,0.5335,0.5335,0.5335,0.5335
1986-05-09,0.541,0.541,0.541,0.541
1986-05-12,0.541,0.541,0.541,0.541
1986-05-13,0.546,0.546,0.546,0.546
1986-05-14,0.5388,0.5388,0.5388,0.5388
1986-05-15,0.5069,0.5069,0.5069,0.5069
1986-05-16,0.5215,0.5215,0.5215,0.5215
1986-05-19,0.5361,0.5361,0.5361,0.5361
1986-05-20,0.5161,0.5161,0.5161,0.5161
1986-05-21,0.496,0.496,0.496,0.496
1986-05-22,0.5001,0.5001,0.5001,0.5001
1986-05-23,0.5115,0.5115,0.5115,0.5115
