time,open,high,low,close
2013-01-17,0.17944,0.17967,0.17944,0.17967
2013-01-18,0.1788,0.1788,0.17796,0.17796
2013-01-22,0.17804,0.17897,0.17797,0.17897
2013-01-23,0.179,0.17949,0.179,0.17949
2013-01-24,0.17954,0.18045,0.17953,0.18045
2013-01-25,0.18064,0.18064,0.18061,0.18061
2013-01-28,0.18045,0.18051,0.18028,0.18042
2013-01-29,0.18014,0.18163,0.18014,0.18163
2013-01-30,0.18165,0.1824,0.18165,0.18224
2013-01-31,0.1823,0.18272,0.18211,0.1826
2013-02-01,0.18288,0.18331,0.18288,0.18318
2013-02-04,0.18266,0.18266,0.18203,0.18223
2013-02-05,0.182,0.18237,0.18156,0.18237
2013-02-06,0.18235,0.18236,0.18143,0.1815
2013-02-07,0.18157,0.18157,0.18089,0.18089
2013-02-08,0.18095,0.18107,0.18014,0.18017
2013-02-11,0.18059,0.18123,0.18059,0.18123
2013-02-12,0.18132,0.18187,0.18132,0.18187
2013-02-13,0.1824,0.1824,0.18221,0.18221
2013-02-14,0.18223,0.18236,0.18019,0.18019
2013-02-15,0.18018,0.18018,0.17986,0.18012
2013-02-19,0.18051,0.18051,0.18051,0.18051
2013-02-20,0.18087,0.18088,0.17869,0.17871
2013-02-21,0.17842,0.17842,0.17585,0.17585
2013-02-22,0.17656,0.17656,0.17605,0.17605
2013-02-25,0.17677,0.17706,0.17578,0.17578
2013-02-26,0.17472,0.17525,0.1747,0.17525
2013-02-27,0.17536,0.17538,0.17535,0.17538
2013-02-28,0.17565,0.17565,0.17424,0.17424
2013-03-01,0.17366,0.17366,0.17363,0.17363
2013-03-04,0.17422,0.17473,0.17415,0.17473
2013-03-05,0.17517,0.17533,0.17517,0.17533
2013-03-06,0.17532,0.17532,0.17509,0.17509
2013-03-07,0.17473,0.17635,0.17473,0.17635
2013-03-08,0.17441,0.17466,0.17432,0.17466
2013-03-11,0.17467,0.17479,0.17467,0.17479
2013-03-12,0.17546,0.17546,0.17499,0.17515
2013-03-13,0.17381,0.17407,0.17381,0.17407
2013-03-14,0.17231,0.17231,0.1712,0.17178
2013-03-15,0.17197,0.17298,0.17197,0.17275
2013-03-18,0.17162,0.17213,0.17162,0.17213
2013-03-19,0.17213,0.17213,0.1708,0.1708
2013-03-20,0.17102,0.17102,0.17049,0.17049
2013-03-21,0.1703,0.1707,0.1703,0.1707
2013-03-22,0.17169,0.17169,0.17165,0.17169
2013-03-25,0.17047,0.17072,0.17036,0.17072
2013-03-26,0.17082,0.17111,0.17053,0.17095
2013-03-27,0.17103,0.17103,0.17021,0.17021
2013-03-28,0.17001,0.17067,0.1696,0.17067
2013-04-01,0.17139,0.17139,0.17139,0.17139
2013-04-02,0.17115,0.1712,0.17115,0.1712
2013-04-03,0.17162,0.1719,0.17162,0.17166
2013-04-04,0.17114,0.17256,0.17114,0.17255
