time,open,high,low,close
2003-04-01,0.2879,0.302,0.2879,0.3018
2003-04-02,0.3048,0.3074,0.3013,0.3065
2003-04-03,0.3042,0.3079,0.3011,0.3074
2003-04-04,0.3062,0.3102,0.3027,0.3102
2003-04-07,0.3144,0.3172,0.3025,0.3162
2003-04-08,0.3184,0.3184,0.3038,0.3065
2003-04-09,0.3065,0.3152,0.304,0.3122
2003-04-10,0.3108,0.3166,0.3083,0.3086
2003-04-11,0.3107,0.3147,0.31,0.3122
2003-04-14,0.3122,0.3164,0.312,0.3164
2003-04-15,0.319,0.3248,0.319,0.3244
2003-04-16,0.3265,0.3265,0.3233,0.3246
2003-04-17,0.3242,0.332,0.3233,0.3297
2003-04-18,0.3242,0.332,0.3233,0.3297
2003-04-21,0.3294,0.3294,0.3294,0.3294
2003-04-22,0.3247,0.3297,0.3247,0.3259
2003-04-23,0.3279,0.3339,0.3259,0.3339
2003-04-24,0.333,0.3348,0.3318,0.3322
2003-04-25,0.3322,0.3326,0.33,0.3326
2003-04-28,0.3326,0.3379,0.3174,0.3379
2003-04-29,0.3379,0.3444,0.3379,0.3433
2003-04-30,0.3434,0.3476,0.343,0.3436
2003-05-01,0.3433,0.3433,0.3432,0.3432
2003-05-02,0.3445,0.3445,0.3368,0.3369
2003-05-05,0.3375,0.3398,0.3292,0.3292
2003-05-06,0.3297,0.333,0.325,0.3327
2003-05-07,0.3308,0.3393,0.3308,0.3392
2003-05-08,0.3393,0.3445,0.3393,0.3439
2003-05-09,0.3434,0.3481,0.3434,0.3481
2003-05-12,0.3481,0.3493,0.346,0.3493
2003-05-13,0.3492,0.3511,0.346,0.346
2003-05-14,0.3459,0.3469,0.3428,0.3428
2003-05-15,0.3463,0.3463,0.3363,0.3364
2003-05-16,0.3369,0.3429,0.3341,0.336
2003-05-19,0.3398,0.3398,0.3331,0.3336
2003-05-20,0.3337,0.3337,0.3306,0.3311
2003-05-21,0.3314,0.3341,0.3307,0.3336
2003-05-22,0.3321,0.3363,0.3313,0.3351
2003-05-23,0.3378,0.343,0.3348,0.343
2003-05-26,0.3427,0.3445,0.3305,0.3305
2003-05-27,0.3262,0.3323,0.3262,0.3318
2003-05-28,0.3318,0.3323,0.331,0.3319
2003-05-29,0.3322,0.341,0.3312,0.3363
2003-05-30,0.341,0.341,0.3328,0.3379
2003-06-02,0.3379,0.3387,0.3347,0.3368
2003-06-03,0.3373,0.3397,0.3334,0.3397
2003-06-04,0.3396,0.3445,0.3359,0.3425
2003-06-05,0.3374,0.3499,0.3347,0.3498
2003-06-06,0.3424,0.3544,0.3363,0.3475
2003-06-09,0.3502,0.3584,0.3386,0.349
2003-06-10,0.3487,0.3584,0.3482,0.3487
2003-06-11,0.3486,0.3528,0.3477,0.3485
2003-06-12,0.3511,0.3513,0.3482,0.3487
2003-06-13,0.3505,0.3538,0.3482,0.3488
2003-06-16,0.3485,0.3516,0.3482,0.3509
2003-06-17,0.3472,0.3498,0.3457,0.3492
2003-06-18,0.3456,0.3471,0.3427,0.3448
2003-06-19,0.3448,0.3448,0.3445,0.3445
2003-06-20,0.3447,0.3472,0.3447,0.3456
2003-06-23,0.3461,0.3493,0.3448,0.3493
2003-06-24,0.3499,0.3505,0.3484,0.3493
2003-06-25,0.3499,0.3511,0.3377,0.3497
2003-06-26,0.3497,0.3497,0.3447,0.3451
2003-06-27,0.3451,0.3486,0.3447,0.3477
2003-06-30,0.3462,0.3519,0.346,0.3518
2003-07-01,0.3518,0.3531,0.3501,0.3524
2003-07-02,0.3534,0.3553,0.3534,0.3553
2003-07-03,0.3547,0.3547,0.3524,0.3539
2003-07-04,0.3542,0.3546,0.3524,0.3524
2003-07-07,0.3524,0.3524,0.3465,0.3469
2003-07-08,0.3465,0.3485,0.3447,0.3478
2003-07-09,0.3485,0.3499,0.3485,0.3497
2003-07-10,0.3497,0.3497,0.3447,0.3457
2003-07-11,0.3458,0.346,0.3432,0.3458
2003-07-14,0.3457,0.3498,0.3445,0.349
2003-07-15,0.3495,0.3529,0.3488,0.35
2003-07-16,0.3502,0.3512,0.3465,0.3508
2003-07-17,0.3515,0.3517,0.3483,0.3483
2003-07-18,0.3485,0.349,0.3462,0.3464
2003-07-21,0.3463,0.3477,0.3453,0.3475
2003-07-22,0.3478,0.3478,0.3462,0.347
2003-07-23,0.3466,0.3477,0.3449,0.3453
2003-07-24,0.3457,0.3527,0.3432,0.3463
2003-07-25,0.3464,0.3472,0.3457,0.346
2003-07-28,0.3466,0.3466,0.345,0.3451
2003-07-29,0.3451,0.3451,0.3404,0.3404
2003-07-30,0.3386,0.3407,0.3364,0.3364
2003-07-31,0.3367,0.3388,0.3348,0.3372
2003-08-01,0.3373,0.3376,0.3292,0.3303
2003-08-04,0.3301,0.3303,0.3144,0.3259
2003-08-05,0.3257,0.3314,0.3257,0.3307
2003-08-06,0.3323,0.3323,0.3263,0.3275
2003-08-07,0.3276,0.3404,0.3276,0.3404
2003-08-08,0.3338,0.3367,0.3327,0.3347
2003-08-11,0.3347,0.3528,0.3326,0.3326
2003-08-12,0.3346,0.3346,0.3297,0.3297
2003-08-13,0.3302,0.3384,0.3286,0.3322
2003-08-14,0.3326,0.3341,0.3308,0.3324
2003-08-15,0.3327,0.3418,0.3325,0.3342
2003-08-18,0.3343,0.3381,0.3328,0.3331
2003-08-19,0.3331,0.3347,0.3305,0.3346
2003-08-20,0.3326,0.3346,0.3323,0.3337
2003-08-21,0.3337,0.3341,0.3323,0.333
2003-08-22,0.3329,0.3418,0.3328,0.334
2003-08-25,0.3348,0.3354,0.3334,0.3334
2003-08-26,0.3334,0.3351,0.333,0.3346
2003-08-27,0.3347,0.3381,0.3347,0.3381
2003-08-28,0.3382,0.3401,0.3376,0.339
2003-08-29,0.339,0.339,0.3356,0.3357
2003-09-01,0.3356,0.3359,0.3346,0.3346
2003-09-02,0.3348,0.3385,0.3337,0.3385
2003-09-03,0.3384,0.339,0.3375,0.3384
2003-09-04,0.3377,0.3414,0.3369,0.3414
2003-09-05,0.3404,0.3441,0.3403,0.344
2003-09-08,0.344,0.345,0.3388,0.3388
2003-09-09,0.3389,0.3424,0.3386,0.3421
2003-09-10,0.3422,0.3462,0.3403,0.3462
2003-09-11,0.3459,0.3483,0.3433,0.3434
2003-09-12,0.3432,0.3481,0.3427,0.3445
2003-09-15,0.3445,0.3473,0.3432,0.3469
2003-09-16,0.3471,0.3471,0.3431,0.3432
2003-09-17,0.344,0.3449,0.3392,0.3437
2003-09-18,0.3441,0.3456,0.3434,0.3445
2003-09-19,0.3447,0.3447,0.3434,0.3445
2003-09-22,0.3444,0.345,0.3437,0.3447
2003-09-23,0.3445,0.3451,0.3415,0.3422
2003-09-24,0.3422,0.3435,0.3397,0.3422
2003-09-25,0.3424,0.3429,0.34,0.34
2003-09-26,0.34,0.3422,0.339,0.3408
2003-09-29,0.3408,0.3417,0.34,0.3417
2003-09-30,0.3418,0.346,0.3412,0.3454
2003-10-01,0.3457,0.3478,0.3437,0.3441
2003-10-02,0.3441,0.3527,0.3429,0.346
2003-10-03,0.3459,0.3471,0.3456,0.3464
2003-10-06,0.3464,0.352,0.3459,0.3492
2003-10-07,0.3481,0.3499,0.3471,0.3498
2003-10-08,0.3498,0.3563,0.3496,0.3513
2003-10-09,0.3514,0.359,0.3502,0.353
2003-10-10,0.3531,0.3536,0.3511,0.3533
2003-10-13,0.3533,0.3533,0.3518,0.3526
2003-10-14,0.3526,0.3538,0.351,0.3534
2003-10-15,0.3526,0.3541,0.3521,0.3523
2003-10-16,0.3523,0.3528,0.3504,0.351
2003-10-17,0.3511,0.3511,0.3481,0.3503
2003-10-20,0.3472,0.3552,0.346,0.3492
2003-10-21,0.3494,0.3513,0.3477,0.351
2003-10-22,0.351,0.3513,0.3491,0.3491
2003-10-23,0.3492,0.3637,0.3473,0.3498
2003-10-24,0.3496,0.3497,0.3478,0.3484
2003-10-27,0.3484,0.3488,0.3467,0.3477
2003-10-28,0.3477,0.3536,0.3474,0.3504
2003-10-29,0.3508,0.3526,0.3381,0.3525
2003-10-30,0.3522,0.3603,0.3503,0.3511
2003-10-31,0.3514,0.359,0.3483,0.3488
2003-11-03,0.349,0.359,0.3489,0.3505
2003-11-04,0.3508,0.351,0.3486,0.3493
2003-11-05,0.3492,0.3502,0.3486,0.3487
2003-11-06,0.3492,0.3493,0.3474,0.3477
2003-11-07,0.3477,0.3496,0.3471,0.3487
2003-11-10,0.3487,0.3565,0.3463,0.3468
2003-11-11,0.3463,0.3468,0.3441,0.3442
2003-11-12,0.3442,0.3448,0.3427,0.3445
