time,open,high,low,close
2005-02-07,0.1418,0.1418,0.1402,0.1404
2005-02-08,0.1403,0.1409,0.1401,0.1405
2005-02-09,0.1404,0.1413,0.1404,0.1412
2005-02-10,0.1411,0.1419,0.1402,0.1415
2005-02-11,0.1416,0.1417,0.1413,0.1415
2005-02-14,0.1416,0.1431,0.1415,0.1429
2005-02-15,0.143,0.1438,0.1427,0.1435
2005-02-16,0.1436,0.1439,0.1428,0.1435
2005-02-17,0.1434,0.1439,0.143,0.1437
2005-02-18,0.1436,0.144,0.1433,0.1434
2005-02-21,0.1433,0.1436,0.1431,0.1435
2005-02-22,0.1434,0.1458,0.1433,0.1457
2005-02-23,0.1456,0.1459,0.145,0.1455
2005-02-24,0.1454,0.1463,0.1451,0.1455
2005-02-25,0.1456,0.1461,0.1449,0.146
2005-02-28,0.146,0.1467,0.1459,0.146
2005-03-01,0.1461,0.1461,0.1454,0.1456
2005-03-02,0.1457,0.1457,0.1443,0.145
2005-03-03,0.1449,0.1454,0.1446,0.145
2005-03-04,0.1449,0.1467,0.1449,0.1465
2005-03-07,0.1464,0.1465,0.1459,0.1463
2005-03-08,0.1464,0.1479,0.1462,0.1478
2005-03-09,0.1479,0.1483,0.1473,0.1479
2005-03-10,0.148,0.1485,0.1477,0.1479
2005-03-11,0.1478,0.1486,0.1477,0.1483
2005-03-14,0.1484,0.1486,0.1466,0.1469
2005-03-15,0.147,0.1475,0.1463,0.1464
2005-03-16,0.1463,0.1479,0.1462,0.1475
2005-03-17,0.1476,0.1476,0.1465,0.1471
2005-03-18,0.147,0.1471,0.1455,0.146
2005-03-21,0.146,0.146,0.144,0.1442
2005-03-22,0.1441,0.1448,0.1431,0.1433
2005-03-23,0.1432,0.1435,0.142,0.1424
2005-03-24,0.1425,0.1431,0.1418,0.1419
2005-03-25,0.1418,0.1424,0.1418,0.142
2005-03-28,0.142,0.142,0.1411,0.1414
2005-03-29,0.1415,0.142,0.1413,0.1415
2005-03-30,0.1416,0.1422,0.1415,0.1415
2005-03-31,0.1416,0.1423,0.1414,0.1414
2005-04-01,0.1415,0.1422,0.1404,0.1407
2005-04-04,0.1406,0.1408,0.1397,0.14
2005-04-05,0.1399,0.1403,0.1395,0.1403
2005-04-06,0.1402,0.1409,0.14,0.1406
2005-04-07,0.1405,0.1415,0.1403,0.1404
2005-04-08,0.1403,0.1412,0.1397,0.1411
2005-04-11,0.1411,0.142,0.1409,0.1416
2005-04-12,0.1417,0.1421,0.1406,0.1413
2005-04-13,0.1412,0.1416,0.1405,0.1411
2005-04-14,0.141,0.1412,0.1393,0.1396
2005-04-15,0.1395,0.141,0.1392,0.141
2005-04-18,0.1408,0.1418,0.1404,0.1416
2005-04-19,0.1415,0.1423,0.1411,0.1423
2005-04-20,0.1422,0.1427,0.1414,0.1425
2005-04-21,0.1424,0.1428,0.1419,0.1421
2005-04-22,0.1422,0.1427,0.1418,0.1426
2005-04-25,0.1425,0.1425,0.1415,0.1423
2005-04-26,0.1422,0.1425,0.1416,0.1419
2005-04-27,0.142,0.1421,0.141,0.1414
2005-04-28,0.1415,0.1415,0.1407,0.1408
2005-04-29,0.1407,0.1416,0.1399,0.14
2005-05-02,0.14,0.1401,0.1394,0.1397
2005-05-03,0.1396,0.1404,0.1393,0.1401
2005-05-04,0.1399,0.1413,0.1399,0.1411
2005-05-05,0.1412,0.1415,0.141,0.1413
2005-05-06,0.1414,0.1416,0.1397,0.1398
2005-05-09,0.1397,0.1401,0.1395,0.14
2005-05-10,0.1399,0.1403,0.1393,0.1398
2005-05-11,0.1399,0.1401,0.1386,0.1388
2005-05-12,0.1387,0.1389,0.1376,0.1377
2005-05-13,0.1376,0.1379,0.137,0.1372
2005-05-16,0.1371,0.1372,0.1366,0.1371
2005-05-17,0.137,0.1374,0.1366,0.1369
2005-05-18,0.137,0.1383,0.1367,0.1382
2005-05-19,0.1381,0.1383,0.1369,0.1375
2005-05-20,0.1374,0.1377,0.1366,0.137
2005-05-23,0.1366,0.1373,0.1366,0.1371
2005-05-24,0.137,0.1376,0.1368,0.1372
2005-05-25,0.1373,0.1375,0.1368,0.1371
2005-05-26,0.137,0.1373,0.1359,0.136
2005-05-27,0.1357,0.1365,0.1357,0.1363
2005-05-30,0.1359,0.1361,0.1355,0.1355
2005-05-31,0.1356,0.1356,0.1339,0.1339
2005-06-01,0.134,0.1344,0.133,0.133
2005-06-02,0.1328,0.1342,0.1328,0.1339
2005-06-03,0.1338,0.1342,0.1333,0.1333
2005-06-06,0.1332,0.1341,0.1332,0.1336
2005-06-07,0.1335,0.1343,0.1335,0.1339
2005-06-08,0.134,0.1345,0.1326,0.1326
2005-06-09,0.1325,0.1329,0.1325,0.1325
2005-06-10,0.1324,0.1327,0.1309,0.1309
2005-06-13,0.1307,0.1309,0.13,0.13
2005-06-14,0.1299,0.1304,0.1291,0.1291
2005-06-15,0.129,0.1303,0.129,0.1302
2005-06-16,0.1301,0.1307,0.1301,0.1301
2005-06-17,0.13,0.1328,0.13,0.1328
2005-06-20,0.1317,0.1322,0.131,0.131
2005-06-21,0.1311,0.1315,0.1309,0.1313
2005-06-22,0.1313,0.1316,0.1295,0.1295
2005-06-23,0.1296,0.1296,0.1276,0.1276
2005-06-24,0.1276,0.1285,0.1276,0.1282
2005-06-27,0.1283,0.1294,0.1283,0.1289
2005-06-28,0.129,0.1292,0.1276,0.1276
2005-06-29,0.1276,0.1278,0.1272,0.1272
2005-06-30,0.1272,0.1279,0.1272,0.1276
2005-07-01,0.1274,0.1276,0.1257,0.1257
2005-07-04,0.1254,0.1256,0.1252,0.1252
2005-07-05,0.1252,0.1263,0.1252,0.1261
2005-07-06,0.1261,0.1267,0.1261,0.1267
2005-07-07,0.1267,0.1271,0.1263,0.1263
2005-07-08,0.1263,0.1266,0.1262,0.1262
2005-07-11,0.1263,0.1271,0.1263,0.127
2005-07-12,0.127,0.1296,0.127,0.1293
2005-07-13,0.1294,0.1296,0.1286,0.1286
2005-07-14,0.1286,0.1287,0.1282,0.1282
2005-07-15,0.1281,0.1286,0.128,0.128
2005-07-18,0.1278,0.1282,0.1273,0.1273
2005-07-19,0.1274,0.1274,0.1273,0.1273
2005-07-20,0.1272,0.1281,0.1272,0.1277
2005-07-21,0.1278,0.1289,0.1278,0.1282
2005-07-22,0.1281,0.1285,0.1273,0.1273
2005-07-25,0.1271,0.1278,0.1271,0.1276
2005-07-26,0.1275,0.1276,0.1266,0.1266
2005-07-27,0.1265,0.1272,0.1265,0.127
2005-07-28,0.127,0.1287,0.127,0.1284
2005-07-29,0.1284,0.1287,0.1284,0.1286
2005-08-01,0.1284,0.1299,0.1284,0.1291
2005-08-02,0.1292,0.1302,0.1292,0.1297
2005-08-03,0.1297,0.1311,0.1297,0.1309
2005-08-04,0.131,0.1323,0.131,0.1321
2005-08-05,0.1322,0.1323,0.1319,0.1319
2005-08-08,0.1315,0.1324,0.1315,0.1317
2005-08-09,0.1318,0.1324,0.1318,0.1318
2005-08-10,0.1318,0.1324,0.1318,0.1321
2005-08-11,0.1321,0.1337,0.1321,0.1337
2005-08-12,0.1336,0.1338,0.1333,0.1333
2005-08-15,0.1334,0.1335,0.1326,0.1326
2005-08-16,0.1324,0.1326,0.132,0.132
2005-08-17,0.1321,0.1321,0.131,0.131
2005-08-18,0.131,0.1313,0.1302,0.1302
2005-08-19,0.1302,0.1303,0.1295,0.1295
2005-08-22,0.1293,0.1303,0.1293,0.13
2005-08-23,0.13,0.1305,0.13,0.1303
2005-08-24,0.1304,0.1312,0.1304,0.131
2005-08-25,0.1309,0.1317,0.1309,0.1312
2005-08-26,0.1312,0.1319,0.1312,0.1313
2005-08-29,0.1311,0.1318,0.1305,0.1305
2005-08-30,0.1306,0.1307,0.1304,0.1304
2005-08-31,0.1304,0.132,0.1304,0.1319
2005-09-01,0.132,0.1339,0.132,0.1336
2005-09-02,0.1335,0.135,0.1335,0.1348
2005-09-05,0.1347,0.1353,0.1345,0.1345
2005-09-06,0.1343,0.1344,0.1335,0.1335
2005-09-07,0.1334,0.1342,0.1327,0.1327
2005-09-08,0.1327,0.1331,0.1323,0.1323
2005-09-09,0.1322,0.1332,0.1322,0.1328
2005-09-12,0.1327,0.1328,0.1317,0.1317
2005-09-13,0.1318,0.1321,0.131,0.131
2005-09-14,0.1311,0.1316,0.1311,0.1311
2005-09-15,0.131,0.1311,0.1304,0.1304
2005-09-16,0.1303,0.1312,0.1303,0.1303
2005-09-19,0.1298,0.13,0.1296,0.1296
2005-09-20,0.1297,0.1301,0.1293,0.1293
2005-09-21,0.1292,0.1306,0.1292,0.1304
2005-09-22,0.1303,0.1309,0.1294,0.1294
2005-09-23,0.1294,0.1295,0.1277,0.1277
2005-09-26,0.1277,0.1285,0.1277,0.128
2005-09-27,0.1281,0.1281,0.1274,0.1274
2005-09-28,0.1273,0.1279,0.1273,0.1279
2005-09-29,0.1281,0.1287,0.1281,0.1286
2005-09-30,0.1285,0.1292,0.1285,0.1289
2005-10-03,0.1285,0.1287,0.1276,0.1276
2005-10-04,0.1276,0.1279,0.1275,0.1275
2005-10-05,0.1274,0.1283,0.1274,0.1283
2005-10-06,0.1286,0.1303,0.1286,0.13
2005-10-07,0.1299,0.13,0.1292,0.1292
2005-10-10,0.1293,0.1297,0.1287,0.1287
2005-10-11,0.1287,0.1287,0.1278,0.1278
2005-10-12,0.1277,0.1284,0.1277,0.128
2005-10-13,0.1279,0.128,0.1271,0.1272
2005-10-14,0.1271,0.1276,0.1271,0.1271
2005-10-17,0.1273,0.1276,0.1265,0.1265
2005-10-18,0.1264,0.1265,0.1261,0.1261
2005-10-19,0.126,0.1265,0.126,0.1264
2005-10-20,0.1265,0.1265,0.1263,0.1263
2005-10-21,0.1262,0.1268,0.1249,0.1249
2005-10-24,0.1249,0.1254,0.1249,0.1251
2005-10-25,0.125,0.127,0.125,0.1268
2005-10-26,0.1267,0.1272,0.1262,0.1262
2005-10-27,0.1261,0.1274,0.1261,0.1269
2005-10-28,0.1269,0.1275,0.126,0.126
2005-10-31,0.1261,0.1262,0.1253,0.1253
2005-11-01,0.1251,0.1253,0.1248,0.1248
2005-11-02,0.1248,0.1251,0.1248,0.1248
2005-11-03,0.1249,0.1251,0.1238,0.1238
2005-11-04,0.1237,0.1245,0.1227,0.1227
2005-11-07,0.1226,0.1227,0.1224,0.1224
2005-11-08,0.1224,0.1231,0.1224,0.123
2005-11-09,0.1229,0.1231,0.1219,0.1219
2005-11-10,0.1218,0.1223,0.1209,0.1209
2005-11-11,0.1209,0.1222,0.1209,0.1221
2005-11-14,0.1221,0.1229,0.1215,0.1215
2005-11-15,0.1217,0.1218,0.121,0.121
2005-11-16,0.1212,0.1215,0.1208,0.1208
2005-11-17,0.1208,0.1219,0.1208,0.1217
2005-11-18,0.1216,0.1223,0.1216,0.1221
2005-11-21,0.1222,0.1232,0.122,0.122
2005-11-22,0.122,0.1233,0.122,0.1233
2005-11-23,0.1233,0.124,0.1233,0.1239
2005-11-24,0.1238,0.124,0.1236,0.1236
2005-11-25,0.1235,0.124,0.1232,0.1232
2005-11-28,0.1232,0.1253,0.1232,0.1249
2005-11-29,0.1249,0.1249,0.1234,0.1234
2005-11-30,0.1232,0.1235,0.1232,0.1233
2005-12-01,0.1234,0.1235,0.123,0.123
2005-12-02,0.1229,0.1241,0.1229,0.1238
2005-12-05,0.1239,0.1247,0.1239,0.1244
2005-12-06,0.1243,0.1253,0.1243,0.125
2005-12-07,0.1249,0.1252,0.1242,0.1242
2005-12-08,0.1241,0.125,0.1241,0.1248
2005-12-09,0.1248,0.1251,0.1248,0.1248
2005-12-12,0.1245,0.1265,0.1245,0.1261
2005-12-13,0.1262,0.1265,0.126,0.126
2005-12-14,0.1259,0.1272,0.1259,0.1267
2005-12-15,0.1267,0.1273,0.1261,0.1261
2005-12-16,0.1261,0.1266,0.1261,0.1263
2005-12-19,0.1265,0.1272,0.1265,0.1271
2005-12-20,0.1271,0.1273,0.1252,0.1252
2005-12-21,0.1252,0.1257,0.1249,0.1249
2005-12-22,0.1248,0.1253,0.1248,0.125
2005-12-23,0.1249,0.1254,0.1249,0.1251
2005-12-26,0.125,0.1251,0.1248,0.1248
2005-12-27,0.1247,0.125,0.1246,0.1246
2005-12-28,0.1246,0.1262,0.1246,0.1253
2005-12-29,0.1253,0.1257,0.1253,0.1253
2005-12-30,0.1253,0.1258,0.1253,0.1255
2006-01-02,0.1255,0.1257,0.1251,0.1251
2006-01-03,0.1251,0.1281,0.1251,0.1278
2006-01-04,0.1277,0.1297,0.1277,0.1295
2006-01-05,0.1293,0.1294,0.1292,0.1292
2006-01-06,0.1292,0.1302,0.1292,0.13
2006-01-09,0.1299,0.13,0.129,0.129
2006-01-10,0.1288,0.129,0.1284,0.1284
