time,open,high,low,close
2006-01-23,0.1661,0.1674,0.1661,0.1673
2006-01-24,0.1671,0.1675,0.1654,0.1654
2006-01-25,0.1657,0.1658,0.1649,0.1649
2006-01-26,0.1648,0.1654,0.1633,0.1633
2006-01-27,0.1632,0.1636,0.1622,0.1622
2006-01-30,0.1624,0.1632,0.1623,0.1631
2006-01-31,0.163,0.1646,0.163,0.1646
2006-02-01,0.1643,0.1646,0.1633,0.1633
2006-02-02,0.1636,0.1644,0.1633,0.1643
2006-02-03,0.1641,0.1646,0.1638,0.1638
2006-02-06,0.1636,0.1645,0.1633,0.1633
2006-02-07,0.1633,0.1635,0.1608,0.1608
2006-02-08,0.1609,0.1614,0.1603,0.1614
2006-02-09,0.1613,0.1636,0.1613,0.1632
2006-02-10,0.1632,0.1639,0.1624,0.1624
2006-02-13,0.1626,0.1628,0.1617,0.1617
2006-02-14,0.1618,0.1628,0.1618,0.1627
2006-02-15,0.1628,0.1647,0.1628,0.1639
2006-02-16,0.164,0.1647,0.164,0.1647
2006-02-17,0.1643,0.166,0.1643,0.1658
2006-02-20,0.1655,0.1658,0.1655,0.1657
2006-02-21,0.1656,0.1657,0.1643,0.1643
2006-02-22,0.1642,0.1644,0.1633,0.1641
2006-02-23,0.164,0.1644,0.1632,0.1632
2006-02-24,0.1629,0.1635,0.1629,0.1632
2006-02-27,0.1631,0.1636,0.1612,0.1612
2006-02-28,0.1611,0.162,0.1611,0.1615
2006-03-01,0.1614,0.1621,0.1614,0.1617
2006-03-02,0.1618,0.1633,0.1618,0.1633
2006-03-03,0.1632,0.1633,0.1615,0.1615
2006-03-06,0.1614,0.1616,0.1601,0.1601
2006-03-07,0.1598,0.1602,0.1581,0.1594
2006-03-08,0.1595,0.1597,0.1582,0.1582
2006-03-09,0.158,0.1596,0.158,0.159
2006-03-10,0.159,0.1597,0.1587,0.1594
2006-03-13,0.1595,0.1606,0.1594,0.1594
2006-03-14,0.1596,0.1602,0.1593,0.1602
2006-03-15,0.1602,0.1614,0.1602,0.1612
2006-03-16,0.1612,0.1615,0.1608,0.1614
2006-03-17,0.1615,0.1615,0.1604,0.1604
2006-03-20,0.1602,0.1608,0.1582,0.1582
2006-03-21,0.1583,0.1583,0.1569,0.1569
2006-03-22,0.1573,0.1586,0.1571,0.1586
2006-03-23,0.1586,0.1589,0.1576,0.1576
2006-03-24,0.1573,0.1592,0.1573,0.1592
2006-03-27,0.1594,0.1595,0.1588,0.1588
2006-03-28,0.1589,0.1596,0.1584,0.1584
2006-03-29,0.1583,0.1587,0.1581,0.1587
2006-03-30,0.1585,0.1615,0.1585,0.1615
2006-03-31,0.1615,0.1624,0.1615,0.1616
2006-04-03,0.1617,0.1636,0.1617,0.1632
2006-04-04,0.1633,0.1656,0.1633,0.165
2006-04-05,0.1651,0.1659,0.1651,0.1655
2006-04-06,0.1654,0.1667,0.1645,0.1645
2006-04-07,0.1642,0.1649,0.1626,0.1626
2006-04-10,0.1628,0.1635,0.162,0.162
2006-04-11,0.162,0.1634,0.162,0.1627
2006-04-12,0.163,0.1633,0.1626,0.1626
2006-04-13,0.1627,0.1633,0.1627,0.1628
2006-04-14,0.1629,0.1631,0.1629,0.163
2006-04-17,0.1628,0.1648,0.1628,0.1643
2006-04-18,0.1643,0.1668,0.1643,0.1667
2006-04-19,0.1668,0.1675,0.1668,0.1672
2006-04-20,0.1673,0.1673,0.1642,0.1642
2006-04-21,0.1644,0.1669,0.1644,0.1668
2006-04-24,0.1665,0.1673,0.1647,0.1647
2006-04-25,0.1648,0.1651,0.1635,0.1635
2006-04-26,0.1637,0.1641,0.1622,0.1622
2006-04-27,0.1622,0.1624,0.1616,0.1616
2006-04-28,0.1617,0.1662,0.1617,0.1662
2006-05-01,0.166,0.1669,0.1657,0.1657
2006-05-02,0.1652,0.1661,0.1648,0.1648
2006-05-03,0.1653,0.1661,0.165,0.1652
2006-05-04,0.1651,0.1654,0.1636,0.1653
2006-05-05,0.1652,0.1653,0.1645,0.1645
2006-05-08,0.1645,0.1655,0.1645,0.1647
2006-05-09,0.1646,0.1655,0.1641,0.1655
2006-05-10,0.1654,0.1655,0.1646,0.1646
2006-05-11,0.1647,0.1652,0.1635,0.1636
2006-05-12,0.1637,0.164,0.1584,0.1584
2006-05-15,0.1587,0.1588,0.1544,0.1553
2006-05-16,0.1555,0.157,0.1555,0.1566
2006-05-17,0.1565,0.1603,0.1546,0.1546
2006-05-18,0.1548,0.1566,0.1543,0.1543
2006-05-19,0.1546,0.1559,0.1529,0.1542
2006-05-22,0.1532,0.1542,0.1505,0.1524
2006-05-23,0.1523,0.1542,0.1502,0.1502
2006-05-24,0.1509,0.1514,0.1498,0.1514
2006-05-25,0.1515,0.1533,0.1513,0.1528
2006-05-26,0.1529,0.1534,0.1514,0.1514
2006-05-29,0.1522,0.1539,0.1522,0.153
2006-05-30,0.1528,0.154,0.1483,0.1484
2006-05-31,0.1485,0.1507,0.148,0.148
2006-06-01,0.1479,0.1512,0.1479,0.1509
2006-06-02,0.1494,0.1515,0.1493,0.1493
2006-06-05,0.1495,0.1508,0.1495,0.1499
2006-06-06,0.1493,0.1499,0.1472,0.1472
2006-06-07,0.1469,0.1487,0.1469,0.1478
2006-06-08,0.1475,0.148,0.1466,0.1478
2006-06-09,0.1478,0.1496,0.147,0.147
2006-06-12,0.1479,0.1491,0.1471,0.1471
2006-06-13,0.1467,0.1469,0.1454,0.1454
2006-06-14,0.1456,0.1464,0.1453,0.1453
2006-06-15,0.1456,0.1464,0.1446,0.145
2006-06-16,0.1451,0.1461,0.1447,0.1447
2006-06-19,0.1446,0.1449,0.1425,0.1425
2006-06-20,0.1424,0.1428,0.1406,0.1406
2006-06-21,0.1407,0.141,0.1392,0.1397
2006-06-22,0.1396,0.1406,0.1355,0.1355
2006-06-23,0.1357,0.1363,0.1334,0.134
2006-06-26,0.1343,0.1353,0.1339,0.1347
2006-06-27,0.1348,0.1375,0.1348,0.1365
2006-06-28,0.1366,0.1381,0.1366,0.1378
2006-06-29,0.1377,0.1398,0.1366,0.1398
2006-06-30,0.1399,0.1405,0.1391,0.1405
2006-07-03,0.1391,0.1418,0.1391,0.1417
2006-07-04,0.1418,0.1423,0.1415,0.1415
2006-07-05,0.1414,0.1419,0.1373,0.1373
2006-07-06,0.1371,0.1392,0.1371,0.1389
2006-07-07,0.1388,0.1407,0.1388,0.1397
2006-07-10,0.14,0.141,0.14,0.14
2006-07-11,0.1401,0.1405,0.1401,0.1401
2006-07-12,0.1402,0.1407,0.139,0.139
2006-07-13,0.1391,0.1393,0.1378,0.1378
2006-07-14,0.1378,0.1388,0.1378,0.1381
2006-07-17,0.1382,0.1385,0.1372,0.1372
2006-07-18,0.1375,0.1393,0.1375,0.1392
2006-07-19,0.1395,0.1414,0.1386,0.1414
2006-07-20,0.141,0.1432,0.141,0.143
2006-07-21,0.143,0.144,0.1414,0.1414
2006-07-24,0.1418,0.1423,0.1415,0.1421
2006-07-25,0.142,0.143,0.142,0.1423
2006-07-26,0.142,0.1432,0.142,0.1431
2006-07-27,0.1431,0.1461,0.1431,0.1456
2006-07-28,0.1456,0.1456,0.1445,0.1453
2006-07-31,0.1449,0.1455,0.1435,0.1435
2006-08-01,0.1436,0.1443,0.1435,0.1435
2006-08-02,0.1435,0.1452,0.1435,0.1443
2006-08-03,0.1441,0.1456,0.1441,0.1452
2006-08-04,0.1452,0.1465,0.1452,0.146
2006-08-07,0.1461,0.1471,0.1461,0.1466
2006-08-08,0.1465,0.147,0.1465,0.1465
2006-08-09,0.1464,0.1483,0.1464,0.148
2006-08-10,0.148,0.1481,0.1472,0.1472
2006-08-11,0.1473,0.1476,0.1466,0.1466
2006-08-14,0.1466,0.1472,0.1452,0.1452
