time,open,high,low,close
2005-03-09,0.6945,0.6965,0.6944,0.6956
2005-03-10,0.6956,0.6993,0.6952,0.6979
2005-03-11,0.6979,0.6997,0.69685,0.6988
2005-03-14,0.6993,0.6997,0.6973,0.6986
2005-03-15,0.6986,0.6987,0.6947,0.6955
2005-03-16,0.6955,0.69705,0.6942,0.6965
2005-03-17,0.6965,0.6971,0.6944,0.6948
2005-03-18,0.695,0.6958,0.693,0.6933
2005-03-21,0.69325,0.6953,0.6915,0.6937
2005-03-22,0.6941,0.6957,0.693,0.69365
2005-03-23,0.6938,0.6963,0.6924,0.69465
2005-03-24,0.6949,0.6961,0.6919,0.69235
2005-03-25,0.6923,0.6934,0.6919,0.69305
2005-03-28,0.69275,0.6939,0.6896,0.6909
2005-03-29,0.691,0.69265,0.6885,0.6895
2005-03-30,0.6898,0.69055,0.6873,0.6875
2005-03-31,0.688,0.68955,0.6852,0.6857
2005-04-01,0.6863,0.6884,0.6852,0.6876
2005-04-04,0.68595,0.6879,0.6846,0.68565
2005-04-05,0.6851,0.6853,0.6825,0.68405
2005-04-06,0.6838,0.6857,0.6833,0.68455
2005-04-07,0.6844,0.6886,0.6843,0.68755
2005-04-08,0.6869,0.6871,0.6851,0.68585
2005-04-11,0.68575,0.687,0.6851,0.6861
2005-04-12,0.6861,0.6868,0.6826,0.6829
2005-04-13,0.6828,0.684,0.6807,0.6817
2005-04-14,0.682,0.6826,0.6804,0.681
2005-04-15,0.6808,0.6834,0.6803,0.6826
2005-04-18,0.68205,0.6847,0.68145,0.6841
2005-04-19,0.6841,0.6849,0.6796,0.681
2005-04-20,0.6812,0.6823,0.6801,0.6819
2005-04-21,0.6817,0.6858,0.6817,0.6836
2005-04-22,0.6842,0.6844,0.6817,0.6825
2005-04-25,0.68125,0.68145,0.67835,0.68065
2005-04-26,0.6796,0.6818,0.6793,0.6814
2005-04-27,0.6817,0.6819,0.6785,0.6785
2005-04-28,0.6789,0.6796,0.6755,0.6765
2005-04-29,0.6764,0.6783,0.6741,0.6744
2005-05-02,0.67455,0.67905,0.6738,0.6789
2005-05-03,0.6782,0.682,0.6777,0.6801
2005-05-04,0.6802,0.6824,0.6801,0.6805
2005-05-05,0.6808,0.6825,0.6789,0.6796
2005-05-06,0.6808,0.6832,0.6775,0.678
2005-05-09,0.67785,0.682,0.6778,0.6817
2005-05-10,0.6821,0.6844,0.6817,0.6841
2005-05-11,0.6841,0.6846,0.6816,0.6843
2005-05-12,0.6841,0.685,0.6804,0.6806
2005-05-13,0.6802,0.6831,0.67945,0.6827
2005-05-16,0.68535,0.6883,0.6818,0.68775
2005-05-17,0.6875,0.6881,0.6865,0.6875
2005-05-18,0.687,0.6896,0.6868,0.689
2005-05-19,0.6894,0.68985,0.6869,0.6882
2005-05-20,0.6886,0.6889,0.6868,0.6874
2005-05-23,0.68725,0.6942,0.6858,0.6872
2005-05-24,0.6871,0.6888,0.68645,0.6887
2005-05-25,0.6881,0.6889,0.68715,0.688
2005-05-26,0.6881,0.6888,0.6863,0.6875
2005-05-27,0.6872,0.69045,0.6865,0.6899
2005-05-30,0.68715,0.6883,0.6836,0.6841
2005-05-31,0.6843,0.6848,0.67655,0.6771
2005-06-01,0.6772,0.6777,0.67245,0.6731
2005-06-02,0.6737,0.67655,0.6729,0.67575
2005-06-03,0.676,0.67705,0.67325,0.67395
2005-06-06,0.67425,0.6754,0.67185,0.67185
