time,open,high,low,close
2005-03-09,200.065,200.35,199.585,200.125
2005-03-10,200.125,201.205,199.86,200.215
2005-03-11,200.215,200.505,199.595,200.265
2005-03-14,200.295,201.465,200.245,200.625
2005-03-15,200.625,200.945,199.73,200.015
2005-03-16,200.015,201.025,199.63,200.625
2005-03-17,200.625,201.415,200.275,201.245
2005-03-18,201.195,201.575,200.575,201.295
2005-03-21,201.15,201.23,199.175,199.5
2005-03-22,199.535,199.835,198.64,199.195
2005-03-23,198.995,199.135,197.53,198.02
2005-03-24,198.025,199.355,198.025,198.68
2005-03-25,198.895,199.125,198.575,198.895
2005-03-28,198.92,200.295,198.535,200.075
2005-03-29,200.155,201.85,200.045,201.625
2005-03-30,201.315,202.555,201.135,202.015
2005-03-31,201.845,202.75,200.805,202.555
2005-04-01,202.475,203.035,201.995,202.44
2005-04-04,202.21,203.225,202.135,203.1
2005-04-05,203.175,204.055,203.055,203.49
2005-04-06,203.465,204.47,203.005,204.415
2005-04-07,204.335,204.515,202.97,203.095
2005-04-08,203.245,204.265,202.685,204.105
2005-04-11,204.17,204.345,203.515,203.96
2005-04-12,203.905,204.675,203.325,203.91
2005-04-13,203.825,203.935,202.695,203.355
2005-04-14,203.295,203.795,203.095,203.535
2005-04-15,203.555,204.205,203.285,204.015
2005-04-18,203.86,204.82,203.555,204.625
2005-04-19,204.455,205.32,204.105,204.735
2005-04-20,204.825,205.365,204.375,205.115
2005-04-21,205.225,205.355,203.85,204.125
2005-04-22,204.015,204.075,202.44,202.935
2005-04-25,202.3,202.675,201.65,201.945
2005-04-26,202.135,202.425,201.635,202.045
2005-04-27,202.045,202.55,201.265,201.645
2005-04-28,201.625,202.495,201.255,202.245
2005-04-29,202.425,202.505,199.76,199.99
2005-05-02,200.27,200.865,198.735,198.995
2005-05-03,199.195,199.395,198.43,198.825
2005-05-04,198.655,199.27,197.935,198.905
2005-05-05,198.905,199.225,198.475,199.155
2005-05-06,198.885,199.235,198.125,198.645
2005-05-09,198.73,199.155,198.365,198.995
2005-05-10,199.255,199.305,198.285,198.725
2005-05-11,198.725,199.375,197.71,198.065
2005-05-12,198.135,199.27,197.755,199.165
2005-05-13,199.145,199.485,198.42,198.585
2005-05-16,198.455,199.07,196.145,196.205
2005-05-17,196.565,197.48,195.59,197.17
2005-05-18,197.16,197.435,196.435,196.885
2005-05-19,196.855,197.745,196.735,197.745
2005-05-20,197.515,197.995,197.265,197.615
2005-05-23,197.5,197.615,196.795,197.025
2005-05-24,196.995,197.205,196.36,196.695
2005-05-25,196.745,197.455,196.105,197.295
2005-05-26,197.125,197.705,196.365,196.485
2005-05-27,196.525,197.115,196.29,196.865
2005-05-30,197.03,197.24,196.515,196.915
2005-05-31,196.885,197.355,195.875,197.285
2005-06-01,197.175,197.425,196.27,196.775
2005-06-02,196.725,197.055,196.335,196.585
2005-06-03,196.585,196.645,195.235,195.515
2005-06-06,195.35,195.575,194.155,195.105
2005-06-07,194.985,195.7,194.645,195.635
2005-06-08,195.675,196.575,195.315,195.615
2005-06-09,195.565,196.175,195.415,195.605
2005-06-10,195.575,197.005,195.245,196.955
2005-06-13,196.86,198.06,196.335,197.955
2005-06-14,198.015,198.075,197.345,197.715
2005-06-15,197.635,199.32,197.345,199.035
2005-06-16,199.025,199.135,198.37,198.485
2005-06-17,198.585,199.1,197.945,198.78
2005-06-20,198.69,199.805,198.41,199.365
2005-06-21,199.565,199.605,197.775,197.905
2005-06-22,198.055,198.825,197.755,198.33
2005-06-23,198.27,198.33,197.425,197.755
2005-06-24,197.745,199.295,197.645,198.955
2005-06-27,199.1,200.175,199.04,199.805
2005-06-28,199.855,200.315,199.385,199.665
2005-06-29,199.605,200.415,198.845,199.485
2005-06-30,199.505,199.735,198.185,198.735
2005-07-01,198.385,200.62,197.055,197.585
