time,open,high,low,close
2013-06-05,5.80858,5.83063,5.79935,5.81005
2013-06-06,5.80938,5.82275,5.73225,5.74638
2013-06-07,5.74633,5.7849,5.73595,5.7684
2013-06-10,5.77575,5.7974,5.74887,5.7609
2013-06-11,5.75639,5.81468,5.74835,5.77515
2013-06-12,5.7787,5.78351,5.73309,5.75615
2013-06-13,5.75815,5.78695,5.73829,5.74242
2013-06-14,5.74025,5.75402,5.70833,5.71655
2013-06-17,5.71008,5.74301,5.70725,5.72491
2013-06-18,5.72718,5.77429,5.72462,5.73487
2013-06-19,5.73248,5.78272,5.71384,5.7734
2013-06-20,5.77398,6.03904,5.77115,5.9984
2013-06-21,5.9971,6.10865,5.96359,6.06209
2013-06-24,6.0755,6.1743,6.05827,6.13499
2013-06-25,6.13188,6.14152,6.07284,6.0921
2013-06-26,6.0891,6.1164,6.05648,6.10938
2013-06-27,6.1052,6.10805,6.02194,6.04425
2013-06-28,6.0465,6.1082,6.01445,6.07045
2013-07-01,6.07053,6.10201,6.05101,6.093
2013-07-02,6.09479,6.12725,6.07415,6.1138
2013-07-03,6.11553,6.1433,6.08082,6.11128
2013-07-04,6.11068,6.1419,6.08861,6.10508
2013-07-05,6.10895,6.26551,6.09951,6.2516
2013-07-08,6.25843,6.26653,6.14008,6.14015
2013-07-09,6.14598,6.20705,6.1235,6.1796
2013-07-10,6.18198,6.19595,6.08289,6.08537
2013-07-11,6.07843,6.111,5.96553,6.0615
2013-07-12,6.06243,6.08625,6.02595,6.0616
2013-07-15,6.0529,6.09748,6.0499,6.0625
2013-07-16,6.06588,6.07485,5.98443,5.99165
2013-07-17,5.99455,6.01872,5.9631,5.9876
2013-07-18,5.986,6.013,5.97772,5.98445
2013-07-19,5.9827,6.00088,5.96105,5.96798
2013-07-22,5.97615,5.97925,5.9221,5.9341
2013-07-23,5.93733,5.94535,5.86725,5.87463
2013-07-24,5.8745,5.94235,5.87205,5.92698
2013-07-25,5.92878,5.9529,5.89848,5.90435
2013-07-26,5.9044,5.93776,5.886,5.91289
2013-07-29,5.90705,5.94268,5.8952,5.93823
2013-07-30,5.93921,5.95705,5.92105,5.9373
2013-07-31,5.93758,5.96004,5.87772,5.89183
2013-08-01,5.89445,5.96123,5.88755,5.9482
2013-08-02,5.9485,5.96815,5.91675,5.9384
2013-08-05,5.93613,5.95475,5.9024,5.92314
2013-08-06,5.92325,5.94302,5.9058,5.91975
2013-08-07,5.91963,5.94775,5.89949,5.8995
2013-08-08,5.90055,5.9135,5.88788,5.90965
2013-08-09,5.911,5.9228,5.83885,5.84865
2013-08-12,5.85115,5.88282,5.84638,5.87245
2013-08-13,5.87228,5.9137,5.84982,5.88893
2013-08-14,5.88765,5.90763,5.8802,5.8929
2013-08-15,5.89825,5.9679,5.86405,5.9081
2013-08-16,5.90768,5.9267,5.8975,5.9146
2013-08-19,5.91428,5.92705,5.90157,5.91873
2013-08-20,5.91863,5.99565,5.91113,5.9546
2013-08-21,5.95363,6.09037,5.9503,6.0809
2013-08-22,6.08856,6.1252,6.062,6.10709
2013-08-23,6.1033,6.1163,6.01303,6.01575
2013-08-26,6.0255,6.05528,6.00595,6.03785
2013-08-27,6.03578,6.0707,5.99873,6.01755
2013-08-28,6.01755,6.07143,6.00885,6.04915
2013-08-29,6.04803,6.1117,6.043,6.09245
2013-08-30,6.09373,6.13725,6.08657,6.11495
2013-09-02,6.11425,6.1238,6.05728,6.08273
2013-09-03,6.0818,6.09418,6.06545,6.07135
2013-09-04,6.07217,6.09328,6.0583,6.0604
2013-09-05,6.06022,6.14079,6.06022,6.12415
2013-09-06,6.12396,6.13358,6.06293,6.08358
2013-09-09,6.06968,6.09321,6.00883,6.01067
2013-09-10,6.00743,6.0386,5.9157,5.9191
2013-09-11,5.91891,5.93833,5.90392,5.91205
2013-09-12,5.91254,5.92968,5.87791,5.88355
2013-09-13,5.885,5.94306,5.88015,5.9319
2013-09-16,5.9028,5.91635,5.88364,5.91227
2013-09-17,5.9063,5.92045,5.88523,5.9079
2013-09-18,5.9079,5.92349,5.81398,5.81948
2013-09-19,5.82185,5.8497,5.73622,5.82985
2013-09-20,5.8298,5.94713,5.81725,5.9342
2013-09-23,5.91413,5.92794,5.89119,5.91635
2013-09-24,5.92113,5.99418,5.90543,5.97413
2013-09-25,5.97223,6.04779,5.96545,6.00655
2013-09-26,6.00895,6.0137,5.97128,5.98193
2013-09-27,5.97813,6.0087,5.96853,5.9891
2013-09-30,6.00343,6.02728,5.9866,6.01406
2013-10-01,6.00798,6.02388,5.94785,5.9935
2013-10-02,5.9915,6.02968,5.97689,6.01093
2013-10-03,6.0154,6.0154,5.94564,5.95483
2013-10-04,5.95213,5.98115,5.94465,5.9709
2013-10-07,5.9639,5.99725,5.96011,5.96918
2013-10-08,5.97046,5.98183,5.94588,5.96395
2013-10-09,5.97503,6.01555,5.95995,5.99445
2013-10-10,5.99473,6.07534,5.97994,6.04006
2013-10-11,6.03853,6.04105,5.9912,5.9999
2013-10-14,5.99625,6.00871,5.96936,5.97575
2013-10-15,5.9742,6.04017,5.971,6.02215
2013-10-16,5.90325,6.03137,5.90325,5.99669
2013-10-17,5.99597,6.00179,5.91561,5.93204
2013-10-18,5.9317,5.9374,5.89855,5.9002
2013-10-21,5.9019,5.92849,5.89997,5.92122
2013-10-22,5.92335,5.95113,5.88467,5.89997
2013-10-23,5.89704,5.92446,5.8897,5.91948
2013-10-24,5.91946,5.92233,5.87968,5.89338
2013-10-25,5.89185,5.91315,5.87667,5.89305
2013-10-28,5.89083,5.90575,5.87008,5.89896
2013-10-29,5.89248,5.9147,5.88027,5.89827
2013-10-30,5.89805,5.91992,5.86423,5.89775
2013-10-31,5.89671,5.95516,5.89435,5.94205
2013-11-01,5.94277,5.97613,5.93322,5.97115
2013-11-04,5.9687,5.98455,5.93421,5.94879
2013-11-05,5.94893,5.99493,5.94366,5.99093
2013-11-06,5.99278,5.99278,5.94699,5.95478
2013-11-07,5.95473,6.06284,5.95116,6.0456
2013-11-08,6.0528,6.18188,6.03939,6.13745
2013-11-11,6.1679,6.17555,6.12014,6.14578
2013-11-12,6.15045,6.22379,6.14526,6.19349
2013-11-13,6.19863,6.22101,6.16188,6.16648
2013-11-14,6.16683,6.21213,6.15066,6.15535
2013-11-15,6.15393,6.16713,6.10365,6.11451
2013-11-18,6.10673,6.12879,6.10359,6.12415
2013-11-19,6.1299,6.13364,6.07226,6.09
2013-11-20,6.0909,6.13475,6.07044,6.11516
2013-11-21,6.11937,6.14189,6.08476,6.09152
2013-11-22,6.09216,6.1042,6.0578,6.06345
2013-11-25,6.06861,6.1398,6.06138,6.1048
2013-11-26,6.10407,6.1337,6.08522,6.09371
2013-11-27,6.09491,6.11393,6.06211,6.10635
2013-11-28,6.10772,6.112,6.084,6.0881
2013-11-29,6.08715,6.13871,6.08305,6.12775
2013-12-02,6.1319,6.16212,6.08096,6.11988
2013-12-03,6.12015,6.12988,6.08571,6.09691
2013-12-04,6.0965,6.16654,6.09365,6.15466
2013-12-05,6.18508,6.20875,6.11226,6.15589
2013-12-06,6.15341,6.19515,6.14594,6.15761
2013-12-09,6.1493,6.15873,6.1345,6.13786
2013-12-10,6.13705,6.14631,6.09257,6.10988
2013-12-11,6.11101,6.13505,6.10283,6.13445
2013-12-12,6.13736,6.21636,6.12969,6.19826
2013-12-13,6.19673,6.21284,6.17355,6.1796
2013-12-16,6.19543,6.1976,6.11938,6.14763
2013-12-17,6.15634,6.16247,6.10765,6.1113
2013-12-18,6.11123,6.14765,6.08263,6.1406
2013-12-19,6.14051,6.17189,6.10803,6.15137
2013-12-20,6.1503,6.17938,6.14033,6.1618
2013-12-23,6.15888,6.17398,6.12685,6.15453
2013-12-24,6.15235,6.18103,6.14295,6.15558
2013-12-26,6.1511,6.16794,6.13586,6.14405
2013-12-27,6.14427,6.15408,6.08448,6.14175
2013-12-30,6.1384,6.15661,6.06542,6.06902
2013-12-31,6.08628,6.09265,6.0604,6.07885
2014-01-02,6.06955,6.17556,6.06372,6.1665
2014-01-03,6.1723,6.17635,6.11625,6.14828
2014-01-06,6.15335,6.19136,6.14181,6.1708
2014-01-07,6.16778,6.18603,6.14435,6.16973
2014-01-08,6.17246,6.22064,6.1585,6.20225
2014-01-09,6.20258,6.21411,6.17425,6.1764
2014-01-10,6.17968,6.19669,6.14283,6.1438
2014-01-13,6.14085,6.15715,6.11443,6.11743
2014-01-14,6.11856,6.1374,6.08005,6.08278
2014-01-15,6.08173,6.1447,6.08125,6.13687
2014-01-16,6.1359,6.19954,6.1197,6.18025
2014-01-17,6.18097,6.19798,6.15089,6.1548
2014-01-20,6.1638,6.19287,6.1583,6.17675
2014-01-21,6.1746,6.2011,6.16135,6.16982
2014-01-22,6.17008,6.18838,6.15115,6.16435
2014-01-23,6.16303,6.17225,6.0836,6.08779
2014-01-24,6.08908,6.1586,6.08547,6.14375
2014-01-27,6.13238,6.19118,6.12725,6.1489
2014-01-28,6.14723,6.1634,6.124,6.12548
2014-01-29,6.13103,6.21735,6.11822,6.16608
2014-01-30,6.16699,6.2545,6.16112,6.251
2014-01-31,6.25067,6.30389,6.2415,6.28009
2014-02-03,6.27808,6.29633,6.25168,6.28601
2014-02-04,6.28298,6.314,6.27389,6.2839
2014-02-05,6.28709,6.2968,6.2256,6.2307
2014-02-06,6.23107,6.24614,6.19087,6.21538
2014-02-07,6.21445,6.23253,6.16789,6.1764
2014-02-10,6.18113,6.18905,6.12107,6.12868
2014-02-11,6.1274,6.14212,6.10739,6.1269
2014-02-12,6.12589,6.16516,6.10656,6.1166
2014-02-13,6.11553,6.1186,6.0876,6.10475
2014-02-14,6.10547,6.10845,6.07349,6.0765
2014-02-17,6.07636,6.08665,6.067,6.07587
2014-02-18,6.07889,6.08629,6.0375,6.03915
2014-02-19,6.039,6.07956,6.0307,6.0772
2014-02-20,6.07496,6.12162,6.06339,6.09565
2014-02-21,6.09797,6.11745,6.06746,6.07558
2014-02-24,6.07135,6.07915,6.02366,6.03575
2014-02-25,6.0343,6.0495,6.00991,6.03715
2014-02-26,6.03811,6.06998,6.03483,6.0548
2014-02-27,6.05543,6.06922,6.03532,6.03955
2014-02-28,6.04013,6.05248,5.98289,6.00225
2014-03-03,6.01375,6.05427,6.00213,6.04822
2014-03-04,6.04664,6.05865,5.99038,6.01083
2014-03-05,6.00977,6.02407,5.98588,5.99312
2014-03-06,5.99731,6.0006,5.96455,5.97928
2014-03-07,5.97974,5.99679,5.95423,5.989
2014-03-10,5.98469,5.99085,5.95312,5.95573
2014-03-11,5.95469,5.96689,5.94339,5.9593
2014-03-12,5.9601,5.98659,5.94303,5.95033
2014-03-13,5.95026,5.98308,5.91216,5.96959
2014-03-14,5.96733,5.99199,5.95391,5.97291
2014-03-17,5.9711,5.98545,5.92871,5.95131
2014-03-18,5.95194,5.98276,5.94614,5.95568
2014-03-19,5.96243,6.0474,5.95033,6.03575
2014-03-20,6.03621,6.08736,6.0293,6.06921
2014-03-21,6.06323,6.08706,6.04915,6.0521
2014-03-24,6.04713,6.07181,6.00002,6.01798
2014-03-25,6.02179,6.05788,6.01227,6.02811
2014-03-26,6.02808,6.05388,6.02502,6.05286
2014-03-27,6.05008,6.07303,5.98792,6.00135
2014-03-28,6.00107,6.02614,5.98391,6.00696
2014-03-31,5.9988,6.01925,5.97888,5.98838
2014-04-01,5.98829,5.99543,5.95782,5.98357
2014-04-02,5.98418,5.98776,5.94946,5.96954
2014-04-03,5.97202,6.01458,5.96513,6.00312
2014-04-04,6.00046,6.01715,5.97491,5.9989
2014-04-07,5.99328,6.01413,5.99012,5.99297
2014-04-08,5.99277,5.99417,5.96298,5.97513
2014-04-09,5.97565,5.97851,5.93114,5.93666
2014-04-10,5.93833,5.95797,5.91168,5.92931
2014-04-11,5.92929,5.9596,5.91957,5.93386
2014-04-14,5.94365,5.97395,5.94078,5.96526
2014-04-15,5.96442,5.97465,5.94905,5.95364
2014-04-16,5.95401,5.98138,5.94223,5.97412
2014-04-17,5.97355,5.99335,5.9613,5.98635
2014-04-18,5.98593,5.99185,5.9809,5.98878
2014-04-21,5.98702,6.0088,5.9688,5.99985
2014-04-22,5.99913,6.00014,5.96963,5.99006
2014-04-23,5.98988,6.0068,5.97333,5.99576
2014-04-24,5.99295,6.0081,5.97891,6.00048
2014-04-25,5.99996,6.02615,5.98025,6.0212
2014-04-28,6.0091,6.02509,5.994,6.00541
2014-04-29,6.00243,6.01787,5.97916,6.01017
2014-04-30,6.00922,6.01664,5.93997,5.94928
2014-05-01,5.95143,5.95225,5.93568,5.94405
2014-05-02,5.94161,5.97173,5.93272,5.9359
2014-05-05,5.93122,5.96483,5.93105,5.95817
2014-05-06,5.95585,5.95779,5.90721,5.9219
2014-05-07,5.92167,5.93529,5.89584,5.90938
2014-05-08,5.90942,5.91333,5.84879,5.9
2014-05-09,5.90206,5.91951,5.87086,5.9105
2014-05-12,5.91141,5.92666,5.90325,5.92119
2014-05-13,5.91948,5.93573,5.90677,5.92262
2014-05-14,5.92378,5.93087,5.91036,5.92508
2014-05-15,5.92533,5.95255,5.92207,5.95028
2014-05-16,5.95,5.95582,5.93025,5.9342
2014-05-19,5.93417,5.94405,5.92034,5.9327
2014-05-20,5.93131,5.95741,5.92373,5.95355
2014-05-21,5.95381,5.96466,5.94176,5.945
2014-05-22,5.94506,5.95931,5.93,5.94855
2014-05-23,5.94742,5.97014,5.94468,5.96041
2014-05-26,5.96761,5.97086,5.95415,5.95868
2014-05-27,5.95865,5.9708,5.94651,5.95405
2014-05-28,5.95245,5.97725,5.94001,5.9754
2014-05-29,5.97138,5.97395,5.94337,5.96712
2014-05-30,5.96556,5.98865,5.96261,5.97355
2014-06-02,5.97703,6.00259,5.9682,5.99532
2014-06-03,5.99471,6.01255,5.98912,6.00186
2014-06-04,5.99746,6.01069,5.98812,6.00249
2014-06-05,6.00043,6.01507,5.9771,5.98514
2014-06-06,5.98317,5.98816,5.94138,5.94142
2014-06-09,5.94703,5.97472,5.93558,5.97124
2014-06-10,5.97151,5.98531,5.94474,5.97783
2014-06-11,5.97813,6.00516,5.97616,6.00268
2014-06-12,6.00708,6.00767,5.9816,5.9918
2014-06-13,5.99225,6.01583,5.98096,5.99388
2014-06-16,5.99205,6.00888,5.98488,5.99026
2014-06-17,5.9903,6.00999,5.98254,6.00303
2014-06-18,6.0011,6.04015,5.99718,6.00897
2014-06-19,6.01008,6.13326,5.99395,6.11965
2014-06-20,6.12044,6.16379,6.1094,6.11985
2014-06-23,6.12398,6.13757,6.10835,6.10835
2014-06-24,6.11127,6.12399,6.08879,6.11216
2014-06-25,6.11129,6.14975,6.10707,6.1315
2014-06-26,6.1304,6.16042,6.12092,6.13546
2014-06-27,6.13502,6.15443,6.12053,6.1276
2014-06-30,6.12923,6.16778,6.122,6.1331
2014-07-01,6.13246,6.175,6.13041,6.16473
2014-07-02,6.16798,6.18418,6.16236,6.1755
2014-07-03,6.17564,6.28811,6.16944,6.18983
2014-07-04,6.18764,6.21867,6.18122,6.19038
2014-07-07,6.18433,6.20955,6.1534,6.15968
2014-07-08,6.16124,6.19172,6.15519,6.19025
2014-07-09,6.19132,6.19321,6.14938,6.15282
2014-07-10,6.15397,6.17703,6.14924,6.1757
2014-07-11,6.17139,6.18416,6.15188,6.18002
2014-07-14,6.17596,6.18631,6.16587,6.18455
2014-07-15,6.17839,6.22154,6.17645,6.20916
2014-07-16,6.21398,6.22827,6.19231,6.19706
2014-07-17,6.19775,6.21161,6.18934,6.20707
2014-07-18,6.20709,6.22011,6.16992,6.19065
2014-07-21,6.19548,6.22266,6.17851,6.19646
2014-07-22,6.19805,6.20149,6.17908,6.19046
2014-07-23,6.19077,6.20217,6.17509,6.19707
2014-07-24,6.1993,6.2246,6.19416,6.20202
2014-07-25,6.20685,6.22876,6.19212,6.21865
2014-07-28,6.22111,6.23012,6.20453,6.2274
2014-07-29,6.22212,6.25655,6.2192,6.25118
2014-07-30,6.25066,6.27967,6.24264,6.25848
2014-07-31,6.25594,6.299,6.25342,6.28605
2014-08-01,6.28583,6.30391,6.26088,6.26548
2014-08-04,6.27058,6.29223,6.25943,6.26167
2014-08-05,6.26782,6.28394,6.25588,6.2816
2014-08-06,6.2814,6.30685,6.26563,6.26642
2014-08-07,6.266,6.28658,6.23974,6.24325
2014-08-08,6.2444,6.26335,6.21804,6.23695
2014-08-11,6.2337,6.2548,6.17653,6.18359
2014-08-12,6.18234,6.19421,6.16881,6.18089
2014-08-13,6.18157,6.18431,6.14505,6.15873
2014-08-14,6.158,6.1655,6.13414,6.15945
2014-08-15,6.15522,6.16255,6.13075,6.13471
2014-08-18,6.1382,6.15994,6.13205,6.15751
2014-08-19,6.15669,6.16838,6.13602,6.16457
2014-08-20,6.16489,6.19489,6.1613,6.19489
2014-08-21,6.19554,6.19945,6.14558,6.1465
2014-08-22,6.14644,6.17285,6.13235,6.16426
2014-08-25,6.17535,6.19486,6.16936,6.1749
2014-08-26,6.17535,6.18371,6.16176,6.17998
2014-08-27,6.18119,6.18924,6.16902,6.18039
2014-08-28,6.17977,6.19376,6.166,6.17968
2014-08-29,6.17882,6.20216,6.1697,6.19639
2014-09-01,6.19468,6.2098,6.17751,6.19188
2014-09-02,6.19243,6.20524,6.18326,6.18746
2014-09-03,6.19076,6.23146,6.18658,6.21805
2014-09-04,6.2183,6.27548,6.2037,6.2629
2014-09-05,6.26262,6.29044,6.26211,6.28148
2014-09-08,6.28176,6.34432,6.27924,6.33318
2014-09-09,6.33249,6.36254,6.32933,6.34665
2014-09-10,6.34443,6.36361,6.33401,6.34381
2014-09-11,6.34382,6.38341,6.33219,6.37833
2014-09-12,6.38148,6.39066,6.34968,6.36178
2014-09-15,6.36246,6.41312,6.36029,6.39335
2014-09-16,6.39471,6.41835,6.38292,6.40195
2014-09-17,6.40095,6.45667,6.39399,6.4479
2014-09-18,6.44321,6.46085,6.3195,6.32448
2014-09-19,6.32683,6.36226,6.3182,6.35308
2014-09-22,6.35822,6.36679,6.33557,6.34268
2014-09-23,6.34879,6.35851,6.31956,6.35521
2014-09-24,6.35445,6.40342,6.33973,6.39141
2014-09-25,6.39249,6.42135,6.39002,6.39993
2014-09-26,6.40095,6.46085,6.38986,6.45721
2014-09-29,6.45773,6.46871,6.4346,6.45008
2014-09-30,6.44983,6.46324,6.4032,6.42581
2014-10-01,6.42481,6.46491,6.42402,6.4488
2014-10-02,6.451,6.47197,6.41894,6.445
2014-10-03,6.44735,6.54344,6.44231,6.52641
2014-10-06,6.52451,6.52993,6.46759,6.47491
2014-10-07,6.4736,6.4992,6.45584,6.46143
2014-10-08,6.4614,6.48902,6.43037,6.44315
2014-10-09,6.43843,6.47979,6.40745,6.47382
2014-10-10,6.47339,6.55878,6.46347,6.51045
2014-10-13,6.5163,6.52427,6.46528,6.46822
2014-10-14,6.47093,6.5864,6.46403,6.57936
2014-10-15,6.57543,6.65082,6.49119,6.53917
2014-10-16,6.54305,6.67869,6.53869,6.54412
2014-10-17,6.5493,6.56993,6.52499,6.54553
2014-10-20,6.54486,6.58636,6.53503,6.55427
2014-10-21,6.55465,6.57409,6.53344,6.56817
2014-10-22,6.56815,6.62783,6.55709,6.61051
2014-10-23,6.61175,6.64257,6.55755,6.57768
2014-10-24,6.57658,6.60215,6.56395,6.59803
2014-10-27,6.58706,6.62485,6.5707,6.5983
2014-10-28,6.59856,6.64051,6.57394,6.61223
2014-10-29,6.61468,6.71365,6.60378,6.70733
2014-10-30,6.70538,6.74379,6.69477,6.70358
2014-10-31,6.70755,6.80294,6.68141,6.75205
2014-11-03,6.75783,6.80769,6.75476,6.803
2014-11-04,6.80095,6.89697,6.7892,6.85818
2014-11-05,6.86003,6.93507,6.82214,6.83
2014-11-06,6.82783,6.87209,6.79738,6.87009
2014-11-07,6.86632,6.87876,6.80135,6.8086
2014-11-10,6.80537,6.81729,6.73197,6.8101
2014-11-11,6.81673,6.84638,6.7802,6.79773
2014-11-12,6.79918,6.80876,6.7388,6.80211
2014-11-13,6.80347,6.81181,6.75589,6.7921
2014-11-14,6.79271,6.81438,6.7358,6.75035
2014-11-17,6.75432,6.79454,6.7237,6.7847
2014-11-18,6.79248,6.79346,6.71699,6.7316
2014-11-19,6.73213,6.81017,6.73022,6.78673
2014-11-20,6.78405,6.81766,6.74363,6.7666
2014-11-21,6.76865,6.80754,6.73878,6.80701
2014-11-24,6.79503,6.80698,6.76987,6.78003
2014-11-25,6.79622,6.82888,6.78726,6.8044
2014-11-26,6.8121,6.83671,6.79859,6.82796
2014-11-27,6.83005,6.94362,6.8137,6.927
2014-11-28,6.92337,7.04353,6.92177,7.03445
2014-12-01,7.02893,7.06024,6.91694,6.93804
2014-12-02,6.93545,7.03639,6.93462,7.03
2014-12-03,7.03145,7.05451,7.00199,7.03327
2014-12-04,7.0373,7.10242,6.99869,7.05565
2014-12-05,7.064,7.18214,7.05082,7.14003
2014-12-08,7.14968,7.18771,7.12728,7.16122
2014-12-09,7.16545,7.18143,7.06753,7.12598
2014-12-10,7.12686,7.22555,7.10489,7.16083
2014-12-11,7.16498,7.31593,7.1279,7.29351
2014-12-12,7.3054,7.39659,7.28863,7.35671
2014-12-15,7.35495,7.4851,7.34076,7.48492
2014-12-16,7.47285,7.90099,7.42638,7.42735
2014-12-17,7.44415,7.58879,7.3043,7.40975
2014-12-18,7.40815,7.45537,7.34072,7.38878
2014-12-19,7.38991,7.41716,7.32304,7.36401
2014-12-22,7.37245,7.45234,7.32795,7.42403
2014-12-23,7.42445,7.46031,7.36584,7.44631
2014-12-24,7.42602,7.52598,7.40599,7.4531
2014-12-26,7.44459,7.496,7.42421,7.46865
2014-12-29,7.47247,7.53143,7.36671,7.46122
2014-12-30,7.45878,7.48233,7.40262,7.43254
2014-12-31,7.4395,7.50282,7.38361,7.45855
2015-01-02,7.48058,7.60549,7.45622,7.58993
2015-01-05,7.63313,7.67707,7.58322,7.63855
2015-01-06,7.63857,7.76337,7.60018,7.74728
2015-01-07,7.76145,7.84459,7.66774,7.70515
2015-01-08,7.7063,7.71061,7.59739,7.62272
2015-01-09,7.62631,7.69661,7.61045,7.65393
2015-01-12,7.65448,7.76425,7.63904,7.74513
2015-01-13,7.74851,7.77224,7.69672,7.75776
2015-01-14,7.75675,7.776,7.61751,7.62207
2015-01-15,7.62233,7.86271,7.5629,7.58032
2015-01-16,7.58425,7.76017,7.54241,7.55253
2015-01-19,7.56535,7.68483,7.54606,7.62354
2015-01-20,7.6248,7.697,7.58558,7.6732
2015-01-21,7.67193,7.69232,7.54812,7.58488
2015-01-22,7.58808,7.68865,7.56505,7.65593
2015-01-23,7.65143,7.80319,7.62706,7.76447
2015-01-26,7.79751,7.83562,7.73981,7.80331
2015-01-27,7.79363,7.8144,7.69674,7.73187
2015-01-28,7.73277,7.83525,7.70292,7.83525
2015-01-29,7.8337,7.86191,7.76473,7.83088
2015-01-30,7.82311,7.83818,7.71235,7.73038
2015-02-02,7.7173,7.74736,7.61801,7.6496
2015-02-03,7.65016,7.66434,7.48746,7.51665
2015-02-04,7.52738,7.62348,7.5042,7.6031
2015-02-05,7.61973,7.63861,7.50268,7.51635
2015-02-06,7.50663,7.63233,7.46303,7.62892
2015-02-09,7.6279,7.65395,7.57624,7.61615
2015-02-10,7.61553,7.61723,7.55623,7.58128
2015-02-11,7.57645,7.67695,7.54509,7.64728
2015-02-12,7.63522,7.73782,7.61482,7.63867
2015-02-13,7.64725,7.6679,7.55723,7.58778
2015-02-16,7.57973,7.58987,7.53591,7.56955
2015-02-17,7.57165,7.59257,7.49761,7.51895
2015-02-18,7.51598,7.56175,7.4988,7.52738
2015-02-19,7.52431,7.60532,7.51011,7.58669
2015-02-20,7.59081,7.62569,7.49801,7.52832
2015-02-23,7.5268,7.65237,7.52393,7.61648
2015-02-24,7.61253,7.64501,7.57636,7.58809
2015-02-25,7.58611,7.61197,7.54175,7.5447
2015-02-26,7.54968,7.66547,7.52179,7.65865
2015-02-27,7.64955,7.68007,7.61616,7.6643
2015-03-02,7.66555,7.70707,7.65267,7.69211
2015-03-03,7.69045,7.7206,7.67441,7.71015
2015-03-04,7.71528,7.82425,7.69833,7.77834
2015-03-05,7.77295,7.81836,7.70238,7.7229
2015-03-06,7.72081,7.91117,7.71985,7.89909
2015-03-09,7.89896,7.94808,7.86502,7.93081
2015-03-10,7.92583,8.11014,7.92418,8.08735
2015-03-11,8.10707,8.23497,8.08313,8.20708
2015-03-12,8.20868,8.24477,8.05061,8.10258
2015-03-13,8.10765,8.23807,8.1024,8.214
2015-03-16,8.213,8.27718,8.17337,8.26971
2015-03-17,8.27167,8.32814,8.25314,8.31194
2015-03-18,8.30937,8.41894,8.01736,8.16648
2015-03-19,8.16726,8.39561,8.03527,8.08626
2015-03-20,8.09248,8.12295,7.98102,8.02426
2015-03-23,7.99828,8.07398,7.8632,7.87498
