time,open,high,low,close
2002-04-05,10246,10340,10222,10290
2002-04-08,10277,10280,10105,10268
2002-04-09,10290,10311,10205,10222
2002-04-10,10229,10399,10215,10383
2002-04-11,10378,10378,10158,10170
2002-04-12,10210,10240,10140,10194
2002-04-15,10196,10230,10068,10093
2002-04-16,10141,10344,10132,10304
2002-04-17,10309,10338,10185,10228
2002-04-18,10238,10272,10040,10175
2002-04-19,10140,10274,10140,10252
2002-04-22,10247,10263,10111,10135
2002-04-23,10148,10177,10065,10095
2002-04-24,10115,10161,10015,10020
2002-04-25,10015,10045,9919,10042
2002-04-26,10036,10077,9860,9865
2002-04-29,9907,9933,9806,9818
2002-04-30,9836,10003,9817,9930
2002-05-01,9963,10081,9820,10070
2002-05-02,10076,10114,10029,10090
2002-05-03,10074,10108,9920,9986
2002-05-06,10004,10018,9781,9790
2002-05-07,9800,9920,9790,9800
2002-05-08,9875,10148,9871,10115
2002-05-09,10127,10134,10008,10033
2002-05-10,9933,9933,9930,9930
2002-05-13,9938,10111,9915,10105
2002-05-14,10110,10297,10089,10291
2002-05-15,10291,10349,10220,10265
2002-05-16,10267,10319,10228,10293
2002-05-17,10333,10364,10256,10337
2002-05-20,10335,10335,10210,10240
2002-05-21,10232,10285,10087,10123
2002-05-22,10135,10159,10062,10152
2002-05-23,10127,10228,10086,10220
2002-05-24,10221,10245,10085,10093
2002-05-28,10125,10143,9965,10003
2002-05-29,9995,9998,9915,9925
2002-05-30,9940,9967,9801,9921
2002-05-31,9935,10047,9889,9905
2002-06-03,9899,9990,9678,9683
2002-06-04,9700,9750,9593,9700
2002-06-05,9735,9812,9688,9805
2002-06-06,9800,9821,9510,9630
2002-06-07,9546,9641,9468,9590
2002-06-10,9614,9718,9560,9654
2002-06-11,9642,9764,9505,9525
2002-06-12,9546,9633,9448,9622
2002-06-13,9652,9655,9488,9514
2002-06-14,9505,9505,9250,9480
2002-06-17,9490,9695,9480,9680
2002-06-18,9680,9760,9625,9755
2002-06-19,9720,9736,9532,9560
2002-06-20,9575,9595,9419,9428
2002-06-21,9420,9480,9205,9267
2002-06-24,9270,9382,9070,9310
2002-06-25,9338,9405,9100,9105
2002-06-26,9000,9171,8864,9115
2002-06-27,9140,9278,9025,9266
2002-06-28,9289,9360,9222,9230
2002-07-01,9225,9324,9088,9096
2002-07-02,9076,9141,8958,9010
2002-07-03,9025,9070,8893,9047
2002-07-05,9052,9412,9050,9392
2002-07-08,9393,9393,9237,9278
2002-07-09,9295,9324,9077,9098
2002-07-10,9096,9172,8775,8795
2002-07-11,8803,8858,8597,8797
2002-07-12,8830,8879,8590,8648
2002-07-15,8636,8689,8232,8662
2002-07-16,8662,8664,8395,8473
2002-07-17,8439,8721,8402,8525
2002-07-18,8520,8630,8341,8365
2002-07-19,8351,8356,7948,7998
2002-07-22,7920,8113,7698,7785
2002-07-23,7815,7950,7646,7698
2002-07-24,7685,8230,7460,8205
2002-07-25,8200,8306,7918,8170
2002-07-26,8170,8273,8084,8267
2002-07-29,8290,8711,8277,8665
2002-07-30,8645,8757,8530,8694
2002-07-31,8660,8770,8523,8705
2002-08-01,8687,8706,8452,8478
2002-08-02,8460,8493,8185,8300
2002-08-05,8295,8302,8011,8037
2002-08-06,8022,8413,7980,8285
2002-08-07,8325,8460,8205,8440
2002-08-08,8440,8709,8414,8695
2002-08-09,8675,8791,8562,8725
2002-08-12,8721,8721,8567,8670
2002-08-13,8675,8738,8454,8480
2002-08-14,8482,8751,8350,8720
2002-08-15,8720,8858,8682,8807
2002-08-16,8775,8837,8705,8765
2002-08-19,8830,8997,8700,8967
2002-08-20,8951,8974,8815,8885
2002-08-21,8884,8985,8799,8975
2002-08-22,8987,9081,8927,9040
2002-08-23,9075,9075,8823,8868
2002-08-26,8875,8955,8753,8910
2002-08-27,8900,9024,8779,8835
2002-08-28,8845,8854,8639,8682
2002-08-29,8690,8744,8557,8653
2002-08-30,8650,8784,8594,8633
2002-09-03,8568,8580,8289,8298
2002-09-04,8297,8455,8279,8390
2002-09-05,8378,8386,8209,8313
2002-09-06,8292,8480,8292,8433
2002-09-09,8428,8559,8313,8492
2002-09-10,8498,8628,8496,8620
2002-09-11,8630,8760,8540,8552
2002-09-12,8558,8570,8350,8393
2002-09-13,8359,8388,8249,8327
2002-09-16,8330,8382,8245,8375
2002-09-17,8490,8580,8090,8178
2002-09-18,8150,8245,8032,8095
2002-09-19,8090,8104,7904,7913
2002-09-20,7922,7994,7893,7945
2002-09-23,7915,7970,7760,7865
2002-09-24,7853,7860,7636,7678
2002-09-25,7640,7879,7604,7847
2002-09-26,7832,7994,7820,7952
2002-09-27,7943,7960,7656,7663
2002-09-30,7650,7667,7429,7570
2002-10-01,7563,7985,7530,7972
2002-10-02,7952,7957,7710,7765
2002-10-03,7735,7903,7667,7708
2002-10-04,7733,7813,7447,7550
2002-10-07,7521,7621,7388,7443
2002-10-08,7461,7610,7310,7510
2002-10-09,7512,7525,7253,7280
2002-10-10,7263,7543,7174,7505
2002-10-11,7486,7885,7461,7862
2002-10-14,7825,7898,7734,7858
2002-10-15,7872,8260,7863,8252
2002-10-16,8164,8260,7990,8038
2002-10-17,8153,8360,8140,8255
2002-10-18,8321,8350,8126,8295
2002-10-21,8285,8539,8210,8515
2002-10-22,8477,8478,8356,8445
2002-10-23,8424,8522,8276,8492
2002-10-24,8520,8558,8252,8275
2002-10-25,8267,8442,8237,8440
2002-10-28,8450,8543,8305,8378
2002-10-29,8374,8383,8163,8346
2002-10-30,8352,8446,8288,8410
2002-10-31,8390,8485,8315,8350
2002-11-01,8336,8550,8283,8490
2002-11-04,8575,8720,8532,8542
2002-11-05,8545,8676,8517,8648
2002-11-06,8682,8785,8566,8767
2002-11-07,8729,8729,8526,8574
2002-11-08,8588,8658,8480,8495
2002-11-11,8490,8501,8326,8355
2002-11-12,8348,8496,8347,8397
2002-11-13,8362,8485,8280,8425
2002-11-14,8404,8546,8390,8520
2002-11-15,8510,8579,8446,8566
2002-11-18,8562,8638,8471,8480
2002-11-19,8474,8541,8398,8485
2002-11-20,8499,8694,8434,8672
2002-11-21,8665,8869,8645,8859
2002-11-22,8843,8876,8788,8796
2002-11-25,8820,8870,8754,8827
2002-11-26,8819,8844,8660,8665
2002-11-27,8689,8939,8665,8927
2002-11-29,8920,8960,8850,8870
2002-12-02,8870,9044,8780,8870
2002-12-03,8885,8894,8718,8765
2002-12-04,8736,8809,8646,8743
2002-12-05,8742,8828,8605,8640
2002-12-06,8640,8682,8486,8657
2002-12-09,8675,8675,8441,8453
2002-12-10,8481,8578,8467,8555
2002-12-11,8550,8627,8485,8570
2002-12-12,8596,8616,8509,8541
2002-12-13,8535,8535,8398,8416
2002-12-16,8402,8640,8402,8633
2002-12-17,8619,8629,8504,8518
2002-12-18,8521,8525,8388,8435
2002-12-19,8426,8495,8307,8355
2002-12-20,8378,8545,8365,8512
2002-12-23,8502,8537,8442,8490
2002-12-24,8490,8504,8420,8430
2002-12-26,8445,8545,8385,8435
2002-12-27,8425,8437,8261,8270
2002-12-30,8261,8349,8235,8307
2002-12-31,8300,8344,8221,8331
2003-01-02,8320,8610,8316,8591
2003-01-03,8586,8621,8535,8604
2003-01-06,8630,8787,8561,8737
2003-01-07,8727,8788,8691,8750
2003-01-08,8730,8745,8561,8583
2003-01-09,8602,8774,8575,8741
2003-01-10,8742,8802,8639,8767
2003-01-13,8761,8864,8729,8777
2003-01-14,8775,8835,8727,8810
2003-01-15,8819,8855,8682,8731
2003-01-16,8722,8790,8655,8700
2003-01-17,8667,8669,8538,8583
2003-01-21,8593,8610,8413,8435
2003-01-22,8435,8473,8286,8300
2003-01-23,8323,8375,8239,8320
2003-01-24,8326,8334,8087,8113
2003-01-27,8116,8141,7935,7983
2003-01-28,7995,8094,7964,8045
2003-01-29,8040,8140,7880,8074
2003-01-30,8080,8126,7864,7900
2003-01-31,7898,8074,7848,8047
2003-02-03,8080,8129,8050,8077
2003-02-04,8082,8082,7905,8020
2003-02-05,8015,8133,7944,7980
2003-02-06,7961,7997,7863,7940
2003-02-07,7949,8021,7809,7853
2003-02-10,7875,7917,7780,7909
2003-02-11,7924,7967,7784,7839
2003-02-12,7828,7845,7729,7735
2003-02-13,7736,7781,7617,7760
2003-02-14,7757,8048,7712,7925
2003-02-18,7949,8066,7904,8047
2003-02-19,8037,8037,7929,8013
2003-02-20,8005,8065,7887,7925
2003-02-21,7925,8039,7844,8000
2003-02-24,8024,8041,7844,7860
2003-02-25,7843,7929,7706,7920
2003-02-26,7930,7940,7788,7810
2003-02-27,7803,7922,7774,7892
2003-02-28,7890,7962,7847,7920
2003-03-03,7938,7980,7815,7843
2003-03-04,7831,7848,7702,7712
2003-03-05,7696,7773,7660,7767
2003-03-06,7771,7773,7630,7675
2003-03-07,7674,7755,7556,7735
2003-03-10,7727,7729,7550,7560
2003-03-11,7554,7640,7516,7519
2003-03-12,7527,7568,7418,7561
2003-03-13,7574,7835,7548,7829
2003-03-14,7825,7932,7799,7876
2003-03-17,7820,8152,7742,8127
2003-03-18,8092,8218,8067,8170
2003-03-19,8135,8256,8116,8240
2003-03-20,8277,8302,8100,8262
2003-03-21,8260,8499,8239,8480
2003-03-24,8391,8404,8154,8190
2003-03-25,8184,8312,8122,8242
2003-03-26,8242,8277,8161,8198
2003-03-27,8186,8225,8080,8170
2003-03-28,8185,8191,8082,8120
2003-03-31,8075,8075,7891,7940
2003-04-01,7950,8074,7949,8040
2003-04-02,8075,8296,8059,8242
2003-04-03,8240,8354,8185,8198
2003-04-04,8198,8300,8191,8250
2003-04-07,8358,8500,8251,8254
2003-04-08,8254,8359,8233,8282
2003-04-09,8278,8389,8164,8180
2003-04-10,8176,8216,8118,8204
2003-04-11,8212,8317,8153,8178
2003-04-14,8201,8380,8157,8342
2003-04-15,8340,8453,8281,8400
2003-04-16,8473,8490,8209,8228
2003-04-17,8237,8325,8212,8310
2003-04-21,8339,8377,8280,8325
2003-04-22,8319,8474,8239,8461
2003-04-23,8470,8509,8426,8491
2003-04-24,8473,8480,8373,8409
2003-04-25,8411,8435,8260,8286
2003-04-28,8283,8481,8254,8442
2003-04-29,8436,8537,8412,8477
2003-04-30,8465,8508,8407,8453
2003-05-01,8449,8456,8316,8430
2003-05-02,8452,8570,8385,8545
2003-05-05,8532,8591,8484,8515
2003-05-06,8500,8622,8494,8570
2003-05-07,8556,8612,8501,8548
2003-05-08,8526,8552,8445,8478
2003-05-09,8494,8593,8474,8578
2003-05-12,8590,8721,8546,8695
2003-05-13,8683,8703,8625,8667
2003-05-14,8662,8716,8594,8652
2003-05-15,8648,8716,8627,8697
2003-05-16,8687,8734,8628,8675
2003-05-19,8629,8635,8466,8490
2003-05-20,8482,8539,8399,8483
2003-05-21,8491,8517,8424,8495
2003-05-22,8490,8619,8481,8577
2003-05-23,8590,8616,8532,8592
2003-05-27,8593,8789,8530,8757
2003-05-28,8754,8845,8754,8772
2003-05-29,8764,8860,8676,8713
2003-05-30,8718,8873,8718,8852
2003-06-02,8890,8996,8875,8903
2003-06-03,8879,8936,8852,8927
2003-06-04,8938,9057,8906,9035
2003-06-05,9027,9070,8962,9040
2003-06-06,9050,9215,9035,9055
2003-06-09,9045,9093,8940,8992
2003-06-10,8990,9074,8983,9067
2003-06-11,9069,9187,9041,9177
2003-06-12,9188,9250,9118,9212
2003-06-13,9230,9230,9075,9131
2003-06-16,9103,9325,9100,9316
2003-06-17,9306,9342,9247,9292
2003-06-18,9304,9313,9207,9270
2003-06-19,9277,9300,9126,9155
2003-06-20,9149,9254,9142,9153
2003-06-23,9140,9163,9013,9058
2003-06-24,9064,9122,9022,9084
2003-06-25,9085,9137,8963,8975
2003-06-26,8975,9076,8965,9049
2003-06-27,9057,9085,8943,8950
2003-06-30,8975,9043,8943,8957
2003-07-01,8950,9030,8847,9020
2003-07-02,9027,9130,9026,9127
2003-07-03,9129,9131,9018,9035
2003-07-07,9060,9240,9060,9198
2003-07-08,9196,9215,9138,9207
2003-07-09,9197,9206,9080,9141
2003-07-10,9117,9130,8971,9015
2003-07-11,9007,9125,8980,9097
2003-07-14,9111,9257,9102,9145
2003-07-15,9159,9215,9064,9115
2003-07-16,9147,9175,9014,9088
2003-07-17,9051,9093,8983,9033
2003-07-18,9035,9164,9020,9155
2003-07-21,9150,9163,9048,9083
2003-07-22,9088,9158,9013,9135
2003-07-23,9149,9184,9071,9175
2003-07-24,9190,9267,9078,9088
2003-07-25,9078,9281,9057,9254
2003-07-28,9282,9284,9208,9232
2003-07-29,9233,9270,9138,9188
2003-07-30,9194,9236,9141,9178
2003-07-31,9183,9343,9168,9207
2003-08-01,9218,9249,9115,9140
2003-08-04,9120,9192,9026,9154
2003-08-05,9154,9174,8968,8973
2003-08-06,8976,9116,8975,9032
2003-08-07,9034,9124,9005,9120
