time,open,high,low,close
1997-09-09,933.75,941.25,932.75,934
1997-09-10,933.75,934.25,914.5,915.25
1997-09-11,916,917.5,900.5,908.5
1997-09-12,908,926.25,904,924
1997-09-15,933.5,939.75,929,931.5
1997-09-16,931.25,960,930.25,956
1997-09-17,956,962.5,951.5,956
1997-09-18,955.75,970.5,954.75,957.75
1997-09-19,957.75,963.25,953,960.5
1997-09-22,960.25,972,960.25,966.25
1997-09-23,965.25,967.25,956.5,962
1997-09-24,961.5,970.5,952,954.5
1997-09-25,953.75,957.5,945.5,946.5
1997-09-26,946.25,956.5,946.25,953.25
1997-09-29,953.25,964.5,950.25,961.75
1997-09-30,961,965.25,952.75,954.5
1997-10-01,955.5,966.5,954.5,963.5
1997-10-02,963.25,969.5,961,969
1997-10-03,969.25,985.5,961.75,975.5
1997-10-06,976.75,983.75,976.5,981.5
1997-10-07,981.5,992.25,977.5,989.5
1997-10-08,989.5,991.75,974.75,982.25
1997-10-09,982.25,983.25,969.25,978
1997-10-10,978.75,981,964,976.75
1997-10-13,976.75,981.75,974,976.25
1997-10-14,976.25,981.5,968.5,977.5
1997-10-15,975.75,976.75,968,973.5
1997-10-16,973.5,981.25,955.25,959.75
1997-10-17,959,960,935.5,948.75
1997-10-20,963.5,963.5,962.25,962.25
1997-10-21,964.25,980.5,964.25,979.5
1997-10-22,979,980.5,970.5,974.25
1997-10-23,973,974.25,947.5,955.5
1997-10-24,956,969,941.5,944
1997-10-27,942.5,944,874,874
1997-10-28,862,933,844,924.5
1997-10-29,924.5,942,916.25,924.5
1997-10-30,924.5,928.5,902,903
1997-10-31,902,926.25,889.75,924
1997-11-03,923.75,948,921.25,945.75
1997-11-04,946,946.75,936.25,945.75
1997-11-05,941.5,956,938.25,947
1997-11-06,946.5,947.5,937.25,942.25
1997-11-07,942.25,943,916.5,931.25
1997-11-10,930,940.5,922.75,926.25
1997-11-11,926,929.75,924.25,926.5
1997-11-12,926.5,929.5,905.5,908.25
1997-11-13,907,922.5,902.5,919.25
1997-11-14,920,932.5,920,932.5
1997-11-17,932,954.5,932,950
1997-11-18,950,954.5,940,942.5
1997-11-19,942.25,951.5,936.25,947.75
1997-11-20,948,965.5,947,963
1997-11-21,962.5,971,957.5,969.5
1997-11-24,968.5,969,947,949.75
1997-11-25,950,957.5,944.75,951.75
1997-11-26,952,959.75,948.75,955
1997-11-28,954.75,962.25,953.75,955
1997-12-01,955.5,979.5,955.5,979.5
1997-12-02,980,982,972,975
1997-12-03,974.75,981.25,969,977.5
1997-12-04,977.5,985.75,972.5,977
1997-12-05,976.25,989,963,986.5
1997-12-08,986.5,989.75,980.5,984.5
1997-12-09,984.75,986.25,974.5,979
1997-12-10,978.75,979.75,963.5,970.25
1997-12-11,969.75,970.25,951.25,954.5
1997-12-12,948.5,965,946.75,955.5
