time,open,high,low,close
1999-06-30,2293.5,2348.5,2268.5,2325.5
1999-07-01,2326,2357,2295,2347.5
1999-07-06,2383.5,2410,2376.5,2396
1999-07-07,2365,2367.5,2341,2352
1999-07-08,2368,2405,2350.5,2388
1999-07-09,2395,2405.5,2384,2398
1999-07-12,2423,2437,2389,2422
1999-07-13,2394,2399,2372.5,2382
1999-07-14,2397.5,2426.5,2382,2424
1999-07-15,2434,2453.5,2428.5,2448
1999-07-16,2448,2489,2446.5,2484
1999-07-19,2475.5,2489,2442,2449.5
1999-07-20,2402,2406,2358.5,2369.5
1999-07-21,2356.5,2387.5,2342,2353
1999-07-22,2316,2324.5,2299,2312
1999-07-23,2325,2333,2283.5,2303
1999-07-26,2281,2302,2265.5,2268
1999-07-27,2276,2328.5,2274,2325.5
1999-07-28,2319.5,2353,2292,2334.5
1999-07-29,2326,2329,2269,2284.5
1999-07-30,2304,2327,2282,2294
1999-08-02,2266.5,2325,2260.5,2310.5
1999-08-03,2282,2302.5,2224,2261.5
1999-08-04,2262,2273.5,2233,2247
1999-08-05,2207,2241.5,2164.5,2226
1999-08-06,2251,2273.5,2215,2224.5
1999-08-09,2236,2244,2206,2227
1999-08-10,2142,2167,2132,2159
1999-08-11,2197,2230,2184.5,2226.5
1999-08-12,2248.5,2272.5,2234,2238
1999-08-13,2217.5,2302.5,2214,2297.5
1999-08-16,2318,2348,2307,2313
1999-08-17,2330,2359,2289,2334.5
1999-08-18,2350,2363.5,2320,2323.5
1999-08-19,2322,2326.5,2278,2302
1999-08-20,2295.5,2313.5,2282.5,2308
1999-08-23,2337,2372,2335.5,2363
1999-08-24,2388,2444.5,2379.5,2405
1999-08-25,2415,2476.5,2406.5,2470.5
1999-08-26,2470,2477.5,2425,2428
1999-08-27,2425,2449,2399.5,2405
1999-08-30,2405,2421,2363,2374
1999-08-31,2379,2409,2332.5,2395.5
1999-09-01,2395,2432,2389,2414.5
1999-09-02,2413.5,2416.5,2362,2401.5
1999-09-03,2403.5,2513,2396,2513
1999-09-07,2531,2531,2497,2502.5
1999-09-08,2500,2508.5,2456,2469
1999-09-09,2465,2507,2454,2506
1999-09-10,2505,2564,2502,2537
1999-09-13,2540,2550,2487.5,2495.5
1999-09-14,2529,2561,2509.5,2545
1999-09-15,2544,2579.5,2491,2494
1999-09-16,2493,2513,2442.5,2494
1999-09-17,2497,2574,2492.5,2568.5
1999-09-20,2585,2588,2551,2570
1999-09-21,2578,2578,2503,2510
1999-09-22,2510,2548.5,2483,2538
1999-09-23,2537,2567,2415.5,2434
1999-09-24,2433,2439.5,2375,2426
1999-09-27,2427,2486.5,2427,2451.5
1999-09-28,2451,2470,2386,2463
1999-09-29,2464,2476.5,2415,2417
1999-09-30,2417,2462.5,2405,2439.5
1999-10-01,2436.5,2440,2379.5,2431.5
1999-10-04,2431.5,2499.5,2424.5,2498.5
1999-10-05,2496,2535.5,2458,2508
1999-10-06,2504.5,2559,2501,2555.5
1999-10-07,2555.5,2599,2533,2552
1999-10-08,2550,2580,2505,2578
1999-10-11,2578,2611.5,2568,2608
1999-10-12,2609,2617,2545.5,2556
1999-10-13,2532,2554.5,2465.5,2474
1999-10-14,2486,2508,2445,2492
1999-10-15,2495,2498.5,2405,2416
1999-10-18,2406.5,2437,2318.5,2381
1999-10-19,2380.5,2424,2359.5,2385
1999-10-20,2396,2492,2396,2472.5
1999-10-21,2470.5,2514,2413,2513
1999-10-22,2511,2547,2493,2496.5
1999-10-25,2497.5,2528,2470,2501
1999-10-26,2499.5,2545,2476,2476
1999-10-27,2475,2489,2438,2478
1999-10-28,2478,2564.5,2457,2562
1999-10-29,2560,2672,2551,2655.5
