time,open,high,low,close
1988-04-05,1734.4,1737.8,1725.4,1737.6
1988-04-06,1748.7,1759.1,1744.9,1745
1988-04-07,1764.2,1767.4,1758.4,1761
1988-04-08,1758.1,1781.2,1758.1,1779.7
1988-04-11,1797.2,1810.5,1797,1810.5
1988-04-12,1813.2,1820.1,1801.4,1805.3
1988-04-13,1816.1,1816.6,1806.4,1810.4
1988-04-14,1821.1,1826.8,1779.9,1787.2
1988-04-15,1763.1,1782.6,1763.1,1778.6
1988-04-18,1794.6,1802.4,1786.9,1787.8
1988-04-19,1792,1798.9,1784.8,1798.9
1988-04-20,1798,1800.1,1783.2,1786.8
1988-04-21,1780,1792.1,1778.3,1791.9
1988-04-22,1789.5,1789.5,1769.1,1771.6
1988-04-25,1777.9,1777.9,1769.1,1777.6
1988-04-26,1787.8,1801.3,1787.8,1800.8
1988-04-27,1808.1,1813.9,1806,1808.7
1988-04-28,1795.9,1809.4,1795.8,1804.4
1988-04-29,1808.6,1810.7,1796,1802.2
1988-05-03,1801.3,1809.7,1801,1807.1
1988-05-04,1809.2,1809.2,1794.7,1794.7
1988-05-05,1788.7,1797.2,1788.7,1789.5
1988-05-06,1793.7,1801.7,1793.7,1801.1
1988-05-09,1801,1805.2,1793.3,1794.9
1988-05-10,1782.8,1792.6,1782.4,1792.6
1988-05-11,1786.8,1786.8,1749.3,1756.8
1988-05-12,1759.9,1773.4,1759.8,1772.3
1988-05-13,1779.6,1782.8,1774.7,1781.8
1988-05-16,1788.9,1789,1776.6,1776.6
1988-05-17,1782.3,1800.5,1782.3,1789.2
1988-05-18,1780.6,1781,1772.2,1777.6
1988-05-19,1762.4,1764.4,1753.3,1760.7
1988-05-20,1771.1,1774.9,1769.9,1770.2
1988-05-23,1766,1771.2,1761.1,1761.1
1988-05-24,1764.9,1783.6,1764.9,1782.9
1988-05-25,1785.4,1799.6,1785.4,1787.9
1988-05-26,1783.8,1788.1,1782.5,1785.3
1988-05-27,1785.8,1786,1779.2,1785.3
1988-05-31,1785.5,1785.6,1777.8,1783.7
1988-06-01,1799.6,1806.9,1798.9,1805.7
1988-06-02,1813.5,1813.6,1802.6,1810.4
1988-06-03,1818,1822,1814.1,1819.2
1988-06-06,1829.1,1838.9,1829.1,1838.9
1988-06-07,1839.7,1839.9,1818.4,1820
1988-06-08,1815.3,1828.1,1813.3,1828.1
1988-06-09,1837.5,1841.5,1833.5,1841.5
1988-06-10,1838.8,1849.8,1838.8,1849.8
1988-06-13,1848.9,1848.9,1833.3,1838.8
1988-06-14,1834.9,1866.5,1830.6,1866.2
1988-06-15,1873.3,1884.5,1869.3,1869.3
