time,open,high,low,close
1970-01-05,1.89,1.89,1.89,1.89
1970-01-06,1.866,1.866,1.866,1.866
1970-01-07,1.874,1.874,1.874,1.874
1970-01-08,1.88,1.88,1.88,1.88
1970-01-09,1.847,1.847,1.847,1.847
1970-01-12,1.878,1.878,1.878,1.878
1970-01-13,1.884,1.884,1.884,1.884
1970-01-14,1.91,1.91,1.91,1.91
1970-01-15,1.891,1.891,1.891,1.891
1970-01-16,1.91,1.91,1.91,1.91
1970-01-19,1.932,1.932,1.932,1.932
1970-01-20,1.91,1.91,1.91,1.91
1970-01-21,1.902,1.902,1.902,1.902
1970-01-22,1.922,1.922,1.922,1.922
1970-01-23,1.924,1.924,1.924,1.924
1970-01-26,1.915,1.915,1.915,1.915
1970-01-27,1.888,1.888,1.888,1.888
1970-01-28,1.912,1.912,1.912,1.912
1970-01-29,1.903,1.903,1.903,1.903
1970-01-30,1.915,1.915,1.915,1.915
1970-02-02,1.902,1.902,1.902,1.902
1970-02-03,1.925,1.925,1.925,1.925
1970-02-04,1.917,1.917,1.917,1.917
1970-02-05,1.922,1.922,1.922,1.922
1970-02-06,1.938,1.938,1.938,1.938
1970-02-09,1.931,1.931,1.931,1.931
1970-02-10,1.913,1.913,1.913,1.913
1970-02-11,1.887,1.887,1.887,1.887
1970-02-13,1.908,1.908,1.908,1.908
1970-02-16,1.876,1.876,1.876,1.876
1970-02-17,1.866,1.866,1.866,1.866
1970-02-18,1.889,1.889,1.889,1.889
1970-02-19,1.879,1.879,1.879,1.879
1970-02-20,1.887,1.887,1.887,1.887
1970-02-24,1.873,1.873,1.873,1.873
1970-02-25,1.865,1.865,1.865,1.865
1970-02-26,1.935,1.935,1.935,1.935
1970-02-27,1.932,1.932,1.932,1.932
1970-03-02,1.945,1.945,1.945,1.945
1970-03-03,1.953,1.953,1.953,1.953
1970-03-04,1.925,1.925,1.925,1.925
1970-03-05,1.944,1.944,1.944,1.944
1970-03-06,1.93,1.93,1.93,1.93
1970-03-09,1.903,1.903,1.903,1.903
1970-03-10,1.912,1.912,1.912,1.912
1970-03-11,1.902,1.902,1.902,1.902
1970-03-12,1.886,1.886,1.886,1.886
1970-03-13,1.977,1.977,1.977,1.977
1970-03-16,1.882,1.882,1.882,1.882
1970-03-17,1.876,1.876,1.876,1.876
1970-03-18,1.897,1.897,1.897,1.897
1970-03-19,1.89,1.89,1.89,1.89
1970-03-20,1.895,1.895,1.895,1.895
1970-03-23,1.885,1.885,1.885,1.885
1970-03-24,1.893,1.893,1.893,1.893
1970-03-25,1.914,1.914,1.914,1.914
1970-03-26,1.912,1.912,1.912,1.912
1970-03-30,1.91,1.91,1.91,1.91
1970-03-31,1.906,1.906,1.906,1.906
1970-04-01,1.919,1.919,1.919,1.919
1970-04-02,1.911,1.911,1.911,1.911
1970-04-03,1.904,1.904,1.904,1.904
1970-04-06,1.9,1.9,1.9,1.9
1970-04-07,1.888,1.888,1.888,1.888
1970-04-08,1.871,1.871,1.871,1.871
1970-04-09,1.857,1.857,1.857,1.857
1970-04-10,1.861,1.861,1.861,1.861
1970-04-13,1.87,1.87,1.87,1.87
1970-04-14,1.865,1.865,1.865,1.865
1970-04-15,1.858,1.858,1.858,1.858
1970-04-16,1.869,1.869,1.869,1.869
1970-04-17,1.869,1.869,1.869,1.869
1970-04-20,1.873,1.873,1.873,1.873
1970-04-21,1.861,1.861,1.861,1.861
1970-04-22,1.863,1.863,1.863,1.863
1970-04-23,1.86,1.86,1.86,1.86
1970-04-24,1.857,1.857,1.857,1.857
1970-04-27,1.812,1.812,1.812,1.812
1970-04-28,1.725,1.725,1.725,1.725
1970-04-29,1.694,1.694,1.694,1.694
1970-04-30,1.732,1.732,1.732,1.732
1970-05-01,1.739,1.739,1.739,1.739
1970-05-04,1.687,1.687,1.687,1.687
1970-05-05,1.72,1.72,1.72,1.72
1970-05-06,1.7,1.7,1.7,1.7
1970-05-07,1.725,1.725,1.725,1.725
1970-05-08,1.737,1.737,1.737,1.737
1970-05-11,1.77,1.77,1.77,1.77
1970-05-12,1.744,1.744,1.744,1.744
1970-05-13,1.719,1.719,1.719,1.719
1970-05-14,1.68,1.68,1.68,1.68
1970-05-15,1.711,1.711,1.711,1.711
1970-05-18,1.719,1.719,1.719,1.719
1970-05-19,1.704,1.704,1.704,1.704
1970-05-20,1.647,1.647,1.647,1.647
1970-05-21,1.607,1.607,1.607,1.607
1970-05-22,1.622,1.622,1.622,1.622
1970-05-25,1.565,1.565,1.565,1.565
1970-05-26,1.562,1.562,1.562,1.562
1970-05-27,1.6,1.6,1.6,1.6
1970-05-28,1.606,1.606,1.606,1.606
