time,open,high,low,close
1985-06-18,299.8,299.8,299.8,299.8
1985-06-19,294.6,294.6,294.6,294.6
1985-06-20,284,284,284,284
1985-06-21,287.8,287.8,287.8,287.8
1985-06-24,288.2,288.2,288.2,288.2
1985-06-25,286.8,286.8,286.8,286.8
1985-06-26,285.3,285.3,285.3,285.3
1985-06-27,284.2,284.2,284.2,284.2
1985-06-28,284.5,284.5,284.5,284.5
1985-07-01,267.1,267.1,267.1,267.1
1985-07-02,273.9,273.9,273.9,273.9
1985-07-03,272.1,272.1,272.1,272.1
1985-07-04,275.3,275.3,275.3,275.3
1985-07-05,276.8,276.8,276.8,276.8
1985-07-08,281.5,281.5,281.5,281.5
1985-07-09,280.4,280.4,280.4,280.4
1985-07-10,282.2,282.2,282.2,282.2
1985-07-11,279.3,279.3,279.3,279.3
1985-07-12,283.8,283.8,283.8,283.8
1985-07-15,285.1,285.1,285.1,285.1
1985-07-16,288.2,288.2,288.2,288.2
1985-07-17,292.5,292.5,292.5,292.5
1985-07-18,286.3,286.3,286.3,286.3
1985-07-19,286.7,286.7,286.7,286.7
1985-07-22,287.9,287.9,287.9,287.9
1985-07-23,286.9,286.9,286.9,286.9
1985-07-24,287.9,287.9,287.9,287.9
1985-07-25,288.5,288.5,288.5,288.5
1985-07-26,291.7,291.7,291.7,291.7
1985-07-29,296.8,296.8,296.8,296.8
1985-07-30,297.2,297.2,297.2,297.2
1985-07-31,303.2,303.2,303.2,303.2
1985-08-01,294.7,294.7,294.7,294.7
1985-08-02,299.9,299.9,299.9,299.9
1985-08-05,299.2,299.2,299.2,299.2
1985-08-06,293.4,293.4,293.4,293.4
1985-08-07,296,296,296,296
1985-08-08,294.9,294.9,294.9,294.9
1985-08-09,308.6,308.6,308.6,308.6
1985-08-12,307.9,307.9,307.9,307.9
1985-08-13,308.2,308.2,308.2,308.2
1985-08-14,307.8,307.8,307.8,307.8
1985-08-15,315,315,315,315
1985-08-16,332.6,332.6,332.6,332.6
1985-08-19,350.3,350.3,350.3,350.3
1985-08-20,347.9,347.9,347.9,347.9
1985-08-21,345.5,345.5,345.5,345.5
1985-08-22,332.4,332.4,332.4,332.4
1985-08-23,341.3,341.3,341.3,341.3
1985-08-26,342.4,342.4,342.4,342.4
1985-08-27,347.2,347.2,347.2,347.2
1985-08-28,354.1,354.1,354.1,354.1
1985-08-29,342.3,342.3,342.3,342.3
1985-08-30,341.6,341.6,341.6,341.6
1985-09-02,335,335,335,335
1985-09-03,331.7,331.7,331.7,331.7
1985-09-04,321.9,321.9,321.9,321.9
1985-09-05,318.7,318.7,318.7,318.7
1985-09-06,318.2,318.2,318.2,318.2
1985-09-09,323.7,323.7,323.7,323.7
1985-09-10,326.6,326.6,326.6,326.6
1985-09-11,322.1,322.1,322.1,322.1
1985-09-12,319.2,319.2,319.2,319.2
1985-09-13,321.6,321.6,321.6,321.6
1985-09-16,319.6,319.6,319.6,319.6
1985-09-17,310,310,310,310
1985-09-18,306.2,306.2,306.2,306.2
1985-09-19,313,313,313,313
1985-09-20,315.1,315.1,315.1,315.1
1985-09-23,328.3,328.3,328.3,328.3
1985-09-24,324.9,324.9,324.9,324.9
1985-09-25,331.5,331.5,331.5,331.5
1985-09-26,324.5,324.5,324.5,324.5
1985-09-27,321.9,321.9,321.9,321.9
1985-09-30,314.5,314.5,314.5,314.5
1985-10-01,321.4,321.4,321.4,321.4
1985-10-02,320.6,320.6,320.6,320.6
1985-10-03,332.7,332.7,332.7,332.7
1985-10-04,331.8,331.8,331.8,331.8
1985-10-07,329.8,329.8,329.8,329.8
1985-10-08,332.1,332.1,332.1,332.1
1985-10-09,334.1,334.1,334.1,334.1
1985-10-10,331.1,331.1,331.1,331.1
1985-10-11,334.3,334.3,334.3,334.3
1985-10-14,333.6,333.6,333.6,333.6
1985-10-15,332.3,332.3,332.3,332.3
1985-10-16,325.8,325.8,325.8,325.8
1985-10-17,330.3,330.3,330.3,330.3
1985-10-18,332.7,332.7,332.7,332.7
1985-10-21,336.1,336.1,336.1,336.1
1985-10-22,343.7,343.7,343.7,343.7
1985-10-23,344.1,344.1,344.1,344.1
1985-10-24,341.9,341.9,341.9,341.9
1985-10-25,345.9,345.9,345.9,345.9
1985-10-28,344.6,344.6,344.6,344.6
1985-10-29,344.8,344.8,344.8,344.8
1985-10-30,338.9,338.9,338.9,338.9
1985-10-31,331.2,331.2,331.2,331.2
1985-11-01,333.1,333.1,333.1,333.1
1985-11-04,333.4,333.4,333.4,333.4
1985-11-05,333.4,333.4,333.4,333.4
1985-11-06,333.9,333.9,333.9,333.9
1985-11-07,332,332,332,332
1985-11-08,334.1,334.1,334.1,334.1
1985-11-11,334.3,334.3,334.3,334.3
1985-11-12,343.2,343.2,343.2,343.2
1985-11-13,342,342,342,342
1985-11-14,343.2,343.2,343.2,343.2
