Date,Strategy_ID,Future,Direction,Contracts,Entry_Exit,Execution_Count,Gross_PnL,Cost_ScenA,Cost_ScenB,Cost_ScenC,Net_PnL_ScenA,Net_PnL_ScenB,Net_PnL_ScenC,Currency
2008-01-02,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,-34.8857,0,1.7,1.9,-34.8857,-36.5857,-36.7857,EUR
2008-01-03,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-04,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-8,0,1.7,1.9,-8,-9.7,-9.9,EUR
2008-01-04,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-07,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,-35.8571,0,1.7,1.9,-35.8571,-37.5571,-37.7571,EUR
2008-01-08,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-08,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,-36.8,0,1.7,1.9,-36.8,-38.5,-38.7,EUR
2008-01-09,FP10_YM1_TAT,MYM,LONG,1,EXIT,2,47,0,1.7,1.9,47,45.3,45.1,USD
2008-01-09,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-5,0,1.7,1.9,-5,-6.7,-6.9,EUR
2008-01-15,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,176,0,1.7,1.9,176,174.3,174.1,EUR
2008-01-16,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-16,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-18,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-22,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-23,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,-10,0,1.7,1.9,-10,-11.7,-11.9,EUR
2008-01-23,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-25,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-01-28,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-77.5714,0,1.7,1.9,-77.5714,-79.2714,-79.4714,EUR
2008-01-29,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,-70.4857,0,1.7,1.9,-70.4857,-72.1857,-72.3857,EUR
2008-01-30,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-53.2571,0,1.7,1.9,-53.2571,-54.9571,-55.1571,EUR
2008-02-05,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,161.1429,0,1.7,1.9,161.1429,159.4429,159.2429,EUR
2008-02-06,FP10_YM1_TAT,MYM,LONG,1,EXIT,2,-42.5,0,1.7,1.9,-42.5,-44.2,-44.4,USD
2008-02-06,trend_momentum_dax_2h_de30eur_2h,FDXS,LONG,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-02-07,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-02-08,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,0,0,1.7,1.9,0,-1.7,-1.9,EUR
2008-02-11,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-9.5,0,1.7,1.9,-9.5,-11.2,-11.4,EUR
2008-02-12,trend_momentum_dax_2h_de30eur_2h,FDXS,SHORT,1,EXIT,2,-58.7714,0,1.7,1.9,-58.7714,-60.4714,-60.6714,EUR
