Date,Gross_PnL_USD,Gross_PnL_EUR,Net_PnL_ScenA_USD,Net_PnL_ScenA_EUR,Net_PnL_ScenB_USD,Net_PnL_ScenB_EUR,Net_PnL_ScenC_USD,Net_PnL_ScenC_EUR
2008-01-02,0.0000,-34.8857,0.0000,-34.8857,0.0000,-36.5857,0.0000,-36.7857
2008-01-03,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-01-04,0.0000,-8.0000,0.0000,-8.0000,0.0000,-11.4000,0.0000,-11.8000
2008-01-07,0.0000,-35.8571,0.0000,-35.8571,0.0000,-37.5571,0.0000,-37.7571
2008-01-08,0.0000,-36.8000,0.0000,-36.8000,0.0000,-40.2000,0.0000,-40.6000
2008-01-09,47.0000,-5.0000,47.0000,-5.0000,45.3000,-6.7000,45.1000,-6.9000
2008-01-15,0.0000,176.0000,0.0000,176.0000,0.0000,174.3000,0.0000,174.1000
2008-01-16,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4000,0.0000,-3.8000
2008-01-18,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-01-22,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-01-23,0.0000,-10.0000,0.0000,-10.0000,0.0000,-13.4000,0.0000,-13.8000
2008-01-25,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-01-28,0.0000,-77.5714,0.0000,-77.5714,0.0000,-79.2714,0.0000,-79.4714
2008-01-29,0.0000,-70.4857,0.0000,-70.4857,0.0000,-72.1857,0.0000,-72.3857
2008-01-30,0.0000,-53.2571,0.0000,-53.2571,0.0000,-54.9571,0.0000,-55.1571
2008-02-05,0.0000,161.1429,0.0000,161.1429,0.0000,159.4429,0.0000,159.2429
2008-02-06,-42.5000,0.0000,-42.5000,0.0000,-44.2000,-1.7000,-44.4000,-1.9000
2008-02-07,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-08,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-11,0.0000,-9.5000,0.0000,-9.5000,0.0000,-11.2000,0.0000,-11.4000
2008-02-12,0.0000,-58.7714,0.0000,-58.7714,0.0000,-60.4714,0.0000,-60.6714
2008-02-14,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-15,0.0000,0.0000,0.0000,0.0000,0.0000,-3.4000,0.0000,-3.8000
2008-02-19,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-20,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-21,0.0000,-47.8857,0.0000,-47.8857,0.0000,-49.5857,0.0000,-49.7857
2008-02-22,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-25,0.0000,-47.2571,0.0000,-47.2571,0.0000,-48.9571,0.0000,-49.1571
2008-02-27,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-02-29,0.0000,159.9143,0.0000,159.9143,0.0000,156.5143,0.0000,156.1143
2008-03-05,27.0000,0.0000,27.0000,0.0000,25.3000,-1.7000,25.1000,-1.9000
2008-03-06,0.0000,-65.5000,0.0000,-65.5000,0.0000,-67.2000,0.0000,-67.4000
2008-03-10,0.0000,172.0000,0.0000,172.0000,0.0000,170.3000,0.0000,170.1000
2008-03-11,0.0000,-108.4857,0.0000,-108.4857,0.0000,-111.8857,0.0000,-112.2857
2008-03-12,-33.0000,-56.8286,-33.0000,-56.8286,-34.7000,-58.5286,-34.9000,-58.7286
2008-03-14,0.0000,-105.6857,0.0000,-105.6857,0.0000,-109.0857,0.0000,-109.4857
2008-03-17,0.0000,-77.6857,0.0000,-77.6857,0.0000,-79.3857,0.0000,-79.5857
2008-03-18,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-03-19,0.0000,-25.0000,0.0000,-25.0000,0.0000,-26.7000,0.0000,-26.9000
2008-03-26,0.0000,-62.6000,0.0000,-62.6000,0.0000,-64.3000,0.0000,-64.5000
2008-03-27,0.0000,-39.8857,0.0000,-39.8857,0.0000,-43.2857,0.0000,-43.6857
2008-03-31,0.0000,-12.5000,0.0000,-12.5000,0.0000,-14.2000,0.0000,-14.4000
2008-04-02,0.0000,162.5143,0.0000,162.5143,0.0000,160.8143,0.0000,160.6143
2008-04-03,0.0000,-39.0286,0.0000,-39.0286,0.0000,-40.7286,0.0000,-40.9286
2008-04-04,0.0000,-33.9429,0.0000,-33.9429,0.0000,-37.3429,0.0000,-37.7429
2008-04-09,-19.0000,-28.1714,-19.0000,-28.1714,-20.7000,-29.8714,-20.9000,-30.0714
2008-04-10,0.0000,-34.3714,0.0000,-34.3714,0.0000,-36.0714,0.0000,-36.2714
2008-04-16,150.0000,-15.5000,150.0000,-15.5000,148.3000,-17.2000,148.1000,-17.4000
2008-04-17,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-04-21,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-04-22,0.0000,-48.2571,0.0000,-48.2571,0.0000,-51.6571,0.0000,-52.0571
2008-04-23,6.0000,0.0000,6.0000,0.0000,4.3000,0.0000,4.1000,0.0000
2008-04-24,0.0000,-46.6571,0.0000,-46.6571,0.0000,-48.3571,0.0000,-48.5571
2008-05-02,0.0000,199.0857,0.0000,199.0857,0.0000,197.3857,0.0000,197.1857
2008-05-06,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-05-07,-89.0250,-16.5000,-89.0250,-16.5000,-90.7250,-18.2000,-90.9250,-18.4000
2008-05-08,0.0000,-57.6572,0.0000,-57.6572,0.0000,-61.0572,0.0000,-61.4572
2008-05-13,0.0000,-25.7143,0.0000,-25.7143,0.0000,-27.4143,0.0000,-27.6143
2008-05-14,0.0000,-84.6287,0.0000,-84.6287,0.0000,-89.7287,0.0000,-90.3287
2008-05-15,0.0000,-60.3429,0.0000,-60.3429,0.0000,-63.7429,0.0000,-64.1429
2008-05-16,0.0000,81.7142,0.0000,81.7142,0.0000,78.3142,0.0000,77.9142
2008-05-19,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-05-21,0.0000,89.9286,0.0000,89.9286,0.0000,86.5286,0.0000,86.1286
2008-05-23,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-05-27,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-05-28,0.0000,-24.4000,0.0000,-24.4000,0.0000,-26.1000,0.0000,-26.3000
2008-05-29,0.0000,-35.2857,0.0000,-35.2857,0.0000,-36.9857,0.0000,-37.1857
2008-05-30,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-03,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-04,0.0000,0.0000,0.0000,0.0000,-1.7000,-1.7000,-1.9000,-1.9000
2008-06-06,0.0000,-15.0000,0.0000,-15.0000,0.0000,-16.7000,0.0000,-16.9000
2008-06-09,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-10,0.0000,-46.4000,0.0000,-46.4000,0.0000,-48.1000,0.0000,-48.3000
2008-06-12,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-13,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-16,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-06-18,-72.5000,0.0000,-72.5000,0.0000,-74.2000,0.0000,-74.4000,0.0000
2008-06-20,0.0000,-39.0000,0.0000,-39.0000,0.0000,-40.7000,0.0000,-40.9000
2008-06-24,0.0000,154.1714,0.0000,154.1714,0.0000,152.4714,0.0000,152.2714
2008-06-25,-3.0000,0.0000,-3.0000,0.0000,-4.7000,-1.7000,-4.9000,-1.9000
2008-06-27,0.0000,112.8000,0.0000,112.8000,0.0000,109.4000,0.0000,109.0000
2008-06-30,0.0000,-48.1429,0.0000,-48.1429,0.0000,-51.5429,0.0000,-51.9429
2008-07-01,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-07-02,-84.0000,-44.7143,-84.0000,-44.7143,-85.7000,-46.4143,-85.9000,-46.6143
2008-07-03,0.0000,-50.2000,0.0000,-50.2000,0.0000,-51.9000,0.0000,-52.1000
2008-07-04,0.0000,-37.5000,0.0000,-37.5000,0.0000,-39.2000,0.0000,-39.4000
2008-07-07,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-07-09,-107.6200,-50.4571,-107.6200,-50.4571,-109.3200,-52.1571,-109.5200,-52.3571
2008-07-15,0.0000,170.0571,0.0000,170.0571,0.0000,168.3571,0.0000,168.1571
2008-07-16,144.0000,-50.5714,144.0000,-50.5714,142.3000,-52.2714,142.1000,-52.4714
2008-07-18,0.0000,212.3429,0.0000,212.3429,0.0000,210.6429,0.0000,210.4429
2008-07-21,0.0000,-24.5000,0.0000,-24.5000,0.0000,-26.2000,0.0000,-26.4000
2008-07-22,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
2008-07-23,24.5000,0.0000,24.5000,0.0000,22.8000,0.0000,22.6000,0.0000
2008-07-25,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7000,0.0000,-1.9000
